scale,workload,order,queue,nodes,bound_calls,evals,partial_queue_active,partial_queue_pruned,runtime,exact
S1,telemetry,determinants-early,False,447,746,136,0,0,0.009962000000030002,True
S1,telemetry,determinants-early,True,251,516,34,306,46,0.007923946000005344,True
S1,telemetry,determinants-late,False,695,1299,136,0,0,0.01578061599997227,True
S1,telemetry,determinants-late,True,591,1299,32,0,0,0.01731172800003833,True
S1,control,determinants-early,False,391,669,113,0,0,0.009061925999958476,True
S1,control,determinants-early,True,242,512,28,312,35,0.008013389999973697,True
S1,control,determinants-late,False,679,1317,112,0,0,0.015502011000023685,True
S1,control,determinants-late,True,593,1317,26,0,0,0.017742311999995763,True
S1,sensing,determinants-early,False,481,810,147,0,0,0.009478749000038533,True
S1,sensing,determinants-early,True,226,503,16,309,72,0.006113839000022381,True
S1,sensing,determinants-late,False,497,819,148,0,0,0.010130005999997138,True
S1,sensing,determinants-late,True,365,819,16,0,0,0.008632416000011744,True
S2,telemetry,determinants-early,False,939,1815,208,0,0,0.025359734000005574,True
S2,telemetry,determinants-early,True,608,1383,50,839,99,0.022007700999949975,True
S2,telemetry,determinants-late,False,1816,3940,208,0,0,0.05072775400003593,True
S2,telemetry,determinants-late,True,1656,3940,48,0,0,0.057481158000030064,True
S2,control,determinants-early,False,835,1674,165,0,0,0.022275287000013577,True
S2,control,determinants-early,True,587,1364,39,842,80,0.020662275000006503,True
S2,control,determinants-late,False,1780,3960,164,0,0,0.049120850999997856,True
S2,control,determinants-late,True,1653,3960,37,0,0,0.05540529699999297,True
S2,sensing,determinants-early,False,1161,2184,289,0,0,0.026902842000026794,True
S2,sensing,determinants-early,True,600,1427,26,879,177,0.017423432999976285,True
S2,sensing,determinants-late,False,1268,2421,290,0,0,0.028756377000036082,True
S2,sensing,determinants-late,True,1004,2421,26,0,0,0.026836059000004298,True
S3,telemetry,determinants-early,False,2871,6806,251,0,0,0.0733267870000418,True
S3,telemetry,determinants-early,True,2401,6100,56,3777,188,0.0717858099999944,True
S3,telemetry,determinants-late,False,6029,14794,251,0,0,0.16954990199997155,True
S3,telemetry,determinants-late,True,5832,14794,54,0,0,0.2051153120000322,True
S3,control,determinants-early,False,2755,6636,206,0,0,0.06593687299999829,True
S3,control,determinants-early,True,2375,6074,43,3777,163,0.07864770899999485,True
S3,control,determinants-late,False,5990,14812,205,0,0,0.15560825699998304,True
S3,control,determinants-late,True,5826,14812,41,0,0,0.1740178770000398,True
S3,sensing,determinants-early,False,4351,9905,537,0,0,0.10791408300002558,True
S3,sensing,determinants-early,True,3221,8281,43,5139,419,0.08619692899998199,True
S3,sensing,determinants-late,False,4888,11367,538,0,0,0.10344315800000459,True
S3,sensing,determinants-late,True,4393,11367,43,0,0,0.10944171500000266,True
