subset,threshold,workload,agree,pairs,agreement,ci_low,ci_high
all,0.0,control,57,65,0.8769,,
all,0.0,sensing,59,65,0.9077,,
all,0.0,telemetry,53,66,0.803,,
all,0.0,pooled,169,196,0.8622,0.768,0.9385
all,0.05,control,52,59,0.8814,,
all,0.05,sensing,50,55,0.9091,,
all,0.05,telemetry,48,58,0.8276,,
all,0.05,pooled,150,172,0.8721,0.759,0.9563
all,0.1,control,43,48,0.8958,,
all,0.1,sensing,43,46,0.9348,,
all,0.1,telemetry,44,54,0.8148,,
all,0.1,pooled,130,148,0.8784,0.7578,0.9658
all,0.15,control,42,47,0.8936,,
all,0.15,sensing,30,32,0.9375,,
all,0.15,telemetry,37,45,0.8222,,
all,0.15,pooled,109,124,0.879,0.7386,0.972
all,0.25,control,39,44,0.8864,,
all,0.25,sensing,21,23,0.913,,
all,0.25,telemetry,34,38,0.8947,,
all,0.25,pooled,94,105,0.8952,0.766,0.9802
all,0.5,control,21,21,1.0,,
all,0.5,sensing,8,9,0.8889,,
all,0.5,telemetry,24,24,1.0,,
all,0.5,pooled,53,54,0.9815,0.9091,1.0
all,1.0,control,9,9,1.0,,
all,1.0,sensing,0,0,,,
all,1.0,telemetry,11,11,1.0,,
all,1.0,pooled,20,20,1.0,1.0,1.0
reproducible,0.0,control,46,54,0.8519,,
reproducible,0.0,sensing,25,27,0.9259,,
reproducible,0.0,telemetry,43,55,0.7818,,
reproducible,0.0,pooled,114,136,0.8382,0.7167,0.935
reproducible,0.05,control,41,48,0.8542,,
reproducible,0.05,sensing,17,19,0.8947,,
reproducible,0.05,telemetry,40,50,0.8,,
reproducible,0.05,pooled,98,117,0.8376,0.6847,0.9505
reproducible,0.1,control,32,37,0.8649,,
reproducible,0.1,sensing,11,11,1.0,,
reproducible,0.1,telemetry,36,46,0.7826,,
reproducible,0.1,pooled,79,94,0.8404,0.6625,0.9643
reproducible,0.15,control,32,37,0.8649,,
reproducible,0.15,sensing,3,3,1.0,,
reproducible,0.15,telemetry,31,39,0.7949,,
reproducible,0.15,pooled,66,79,0.8354,0.629,0.9697
reproducible,0.25,control,29,34,0.8529,,
reproducible,0.25,sensing,0,0,,,
reproducible,0.25,telemetry,28,32,0.875,,
reproducible,0.25,pooled,57,66,0.8636,0.6769,0.9857
reproducible,0.5,control,12,12,1.0,,
reproducible,0.5,sensing,0,0,,,
reproducible,0.5,telemetry,20,20,1.0,,
reproducible,0.5,pooled,32,32,1.0,1.0,1.0
reproducible,1.0,control,3,3,1.0,,
reproducible,1.0,sensing,0,0,,,
reproducible,1.0,telemetry,10,10,1.0,,
reproducible,1.0,pooled,13,13,1.0,1.0,1.0
