evals,exact,exh_evals,feasible,nodes,pareto,prec,pruned_bound,pruned_dom,pruned_struct,raw,recall,scale,speedup,t_bounds,t_dom,t_eval,t_exh,t_hca,workload
34,True,1080,27,251,17,1.0,208,838,216,1296,1.0,S1,2.15,0.0037,0.0015,0.0003,0.0143,0.0066,telemetry
28,True,1080,25,242,18,1.0,226,826,216,1296,1.0,S1,2.59,0.0031,0.0015,0.0002,0.0151,0.0058,control
16,True,1080,11,226,11,1.0,530,534,216,1296,1.0,S1,1.91,0.0031,0.0007,0.0001,0.009,0.0047,sensing
50,True,3888,42,608,27,1.0,965,2957,1860,5832,1.0,S2,3.6,0.0079,0.0055,0.0004,0.0606,0.0168,telemetry
39,True,3888,36,587,25,1.0,1017,2916,1860,5832,1.0,S2,3.6,0.0073,0.0048,0.0003,0.0538,0.015,control
26,True,3888,19,600,16,1.0,1534,2328,1944,5832,1.0,S2,2.9,0.0074,0.0027,0.0003,0.0364,0.0126,sensing
56,True,34560,48,2401,31,1.0,21957,17587,12240,51840,1.0,S3,6.21,0.0302,0.0272,0.0004,0.4196,0.0676,telemetry
43,True,34560,40,2375,27,1.0,21924,17633,12240,51840,1.0,S3,5.3,0.0295,0.0247,0.0003,0.3377,0.0637,control
43,True,34560,36,3221,27,1.0,16230,20933,14634,51840,1.0,S3,4.13,0.0436,0.0291,0.0005,0.3574,0.0866,sensing
62,,,54,4275,32,,276742,34872,33924,345600,,S4,,0.0554,0.0518,0.0005,,0.1251,telemetry
53,,,50,4252,29,,276811,34812,33924,345600,,S4,,0.0547,0.0489,0.0005,,0.1211,control
52,,,45,6922,28,,230523,73775,41250,345600,,S4,,0.0895,0.0628,0.0004,,0.1802,sensing
