scale,workload,C_E,N_hca,N_exh,overhead_hca,overhead_exh,T_hca,T_exh,speedup
S2,telemetry,1e-06,50,3888,0.018165076999963503,0.041733145000080185,0.018215076999963505,0.04562114500008019,2.5045815068567427
S2,telemetry,1e-05,50,3888,0.018165076999963503,0.041733145000080185,0.018665076999963504,0.08061314500008018,4.31892914238917
S2,telemetry,5e-05,50,3888,0.018165076999963503,0.041733145000080185,0.020665076999963502,0.2361331450000802,11.426676271300478
S2,telemetry,0.0001,50,3888,0.018165076999963503,0.041733145000080185,0.023165076999963504,0.4305331450000802,18.58543984122127
S2,telemetry,0.0005,50,3888,0.018165076999963503,0.041733145000080185,0.043165076999963505,1.9857331450000801,46.003234165475
S2,telemetry,0.001,50,3888,0.018165076999963503,0.041733145000080185,0.0681650769999635,3.92973314500008,57.650241413241325
S2,telemetry,0.005,50,3888,0.018165076999963503,0.041733145000080185,0.2681650769999635,19.48173314500008,72.64828576094841
S2,telemetry,0.03360619232500071,50,3888,0.018165076999963503,0.041733145000080185,1.6984746932499988,130.70260890460284,76.95293278377078
S2,telemetry,0.1,50,3888,0.018165076999963503,0.041733145000080185,5.0181650769999635,388.8417331450001,77.48683576138221
S2,telemetry,1.0,50,3888,0.018165076999963503,0.041733145000080185,50.01816507699996,3888.041733145,77.73259429168569
S2,control,1e-06,39,3888,0.018764213000054042,0.03333517100026029,0.018803213000054043,0.03722317100026029,1.9796175791952848
S2,control,1e-05,39,3888,0.018764213000054042,0.03333517100026029,0.019154213000054043,0.07221517100026029,3.770197762761463
S2,control,5e-05,39,3888,0.018764213000054042,0.03333517100026029,0.020714213000054042,0.2277351710002603,10.994150296690787
S2,control,0.0001,39,3888,0.018764213000054042,0.03333517100026029,0.022664213000054043,0.4221351710002603,18.62562670935248
S2,control,0.0005,39,3888,0.018764213000054042,0.03333517100026029,0.038264213000054045,1.9773351710002602,51.67583535554403
S2,control,0.001,39,3888,0.018764213000054042,0.03333517100026029,0.05776421300005404,3.92133517100026,67.8852003228468
S2,control,0.005,39,3888,0.018764213000054042,0.03333517100026029,0.21376421300005405,19.47333517100026,91.09726505528471
S2,control,0.03360619232500071,39,3888,0.018764213000054042,0.03333517100026029,1.3294057136750816,130.69421093060302,98.31025215718745
S2,control,0.1,39,3888,0.018764213000054042,0.03333517100026029,3.9187642130000544,388.8333351710003,99.22345771176789
S2,control,1.0,39,3888,0.018764213000054042,0.03333517100026029,39.018764213000054,3888.033335171,99.64521977032801
S2,sensing,1e-06,26,3888,0.014727087000011352,0.015469339999896192,0.014753087000011352,0.01935733999989619,1.3120874295583898
S2,sensing,1e-05,26,3888,0.014727087000011352,0.015469339999896192,0.014987087000011352,0.0543493399998962,3.626411189836626
S2,sensing,5e-05,26,3888,0.014727087000011352,0.015469339999896192,0.01602708700001135,0.2098693399998962,13.094665300047824
S2,sensing,0.0001,26,3888,0.014727087000011352,0.015469339999896192,0.017327087000011353,0.4042693399998962,23.33163906891166
S2,sensing,0.0005,26,3888,0.014727087000011352,0.015469339999896192,0.027727087000011353,1.9594693399998961,70.66985940496
S2,sensing,0.001,26,3888,0.014727087000011352,0.015469339999896192,0.040727087000011354,3.903469339999896,95.84455033572148
S2,sensing,0.005,26,3888,0.014727087000011352,0.015469339999896192,0.14472708700001136,19.455469339999897,134.4286666945654
S2,sensing,0.03360619232500071,26,3888,0.014727087000011352,0.015469339999896192,0.8884880874500297,130.67634509960266,147.07720558712853
S2,sensing,0.1,26,3888,0.014727087000011352,0.015469339999896192,2.6147270870000114,388.81546933999994,148.70212316731863
S2,sensing,1.0,26,3888,0.014727087000011352,0.015469339999896192,26.01472708700001,3888.01546934,149.45440159097058
