budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
34560,0,34560,1.0,0.0,exhaustive,34560,34560,1.0,0.3228,S3,,0,control
43,0,43,1.0,0.0,HCA-DSE,43,43,1.0,0.0648,S3,,0,control
100,80,100,0.0654,0.57556,random,100,130,0.0,0.0011,S3,0,30,control
100,71,100,0.5633,0.2752,nsga2,100,128,0.037,0.014,S3,0,28,control
100,78,100,0.5496,0.18044,random,100,154,0.0,0.0011,S3,1,54,control
100,67,100,0.1788,0.45178,nsga2,100,139,0.0,0.0135,S3,1,39,control
100,81,100,0.1316,0.46861,random,100,150,0.0,0.0012,S3,2,50,control
100,59,100,0.3517,0.25926,nsga2,100,152,0.0,0.0161,S3,2,52,control
100,74,100,0.4417,0.35106,random,100,163,0.0,0.0012,S3,3,63,control
100,62,100,0.613,0.22684,nsga2,100,132,0.0,0.0125,S3,3,32,control
100,80,100,0.4118,0.43064,random,100,140,0.0,0.0011,S3,4,40,control
100,61,100,0.1458,0.38142,nsga2,100,144,0.0,0.0165,S3,4,44,control
100,86,100,0.1619,0.41165,random,100,129,0.0,0.001,S3,5,29,control
100,61,100,0.7792,0.14509,nsga2,100,138,0.0,0.0155,S3,5,38,control
100,78,100,0.1438,0.38309,random,100,145,0.0,0.0011,S3,6,45,control
100,75,100,0.4909,0.42919,nsga2,100,148,0.0,0.0146,S3,6,48,control
100,78,100,0.079,0.58545,random,100,147,0.0,0.0011,S3,7,47,control
100,79,100,0.3191,0.53605,nsga2,100,132,0.0,0.011,S3,7,32,control
100,80,100,0.2844,0.48746,random,100,141,0.0,0.001,S3,8,41,control
100,57,100,0.0959,0.47076,nsga2,100,137,0.0,0.017,S3,8,37,control
100,80,100,0.1276,0.44272,random,100,152,0.0,0.0011,S3,9,52,control
100,70,100,0.664,0.39072,nsga2,100,153,0.0,0.0156,S3,9,53,control
100,81,100,0.4157,0.35739,random,100,155,0.0,0.0011,S3,10,55,control
100,69,100,0.1177,0.40267,nsga2,100,124,0.0,0.0137,S3,10,24,control
100,84,100,0.6225,0.41924,random,100,158,0.0,0.0012,S3,11,58,control
100,74,100,0.0421,0.70205,nsga2,100,122,0.0,0.0138,S3,11,22,control
100,84,100,0.172,0.52143,random,100,141,0.0,0.001,S3,12,41,control
100,74,100,0.2722,0.51176,nsga2,100,160,0.0,0.019,S3,12,60,control
100,82,100,0.403,0.38726,random,100,148,0.0,0.0012,S3,13,48,control
100,74,100,0.2996,0.40002,nsga2,100,140,0.0,0.0156,S3,13,40,control
100,76,100,0.3932,0.36535,random,100,153,0.0,0.0012,S3,14,53,control
100,87,100,0.0417,0.65555,nsga2,100,128,0.0,0.0124,S3,14,28,control
100,79,100,0.4139,0.41062,random,100,153,0.0,0.001,S3,15,53,control
100,49,100,0.0177,0.71739,nsga2,100,140,0.0,0.0156,S3,15,40,control
100,80,100,0.2388,0.28342,random,100,156,0.0,0.001,S3,16,56,control
100,61,100,0.8238,0.08812,nsga2,100,140,0.0,0.0145,S3,16,40,control
100,86,100,0.1297,0.4191,random,100,148,0.0,0.0011,S3,17,48,control
100,58,100,0.1965,0.48008,nsga2,100,134,0.0,0.0138,S3,17,34,control
100,79,100,0.1234,0.64263,random,100,154,0.0,0.0011,S3,18,54,control
100,85,100,0.3726,0.46961,nsga2,100,131,0.0,0.0137,S3,18,31,control
100,80,100,0.3008,0.54333,random,100,147,0.0,0.0013,S3,19,47,control
100,70,100,0.0535,0.6195,nsga2,100,124,0.0,0.0184,S3,19,24,control
250,199,250,0.5523,0.21704,random,250,361,0.0,0.0041,S3,0,111,control
250,108,250,0.6987,0.17067,nsga2,250,294,0.037,0.0361,S3,0,44,control
250,200,250,0.5589,0.17717,random,250,377,0.0,0.0028,S3,1,127,control
250,110,250,0.5793,0.17489,nsga2,250,298,0.0,0.0409,S3,1,48,control
250,198,250,0.461,0.32393,random,250,389,0.0,0.0028,S3,2,139,control
250,83,250,0.8715,0.06657,nsga2,250,320,0.0741,0.0369,S3,2,70,control
250,195,250,0.4792,0.26292,random,250,402,0.0,0.003,S3,3,152,control
250,97,250,0.9141,0.04077,nsga2,250,302,0.1111,0.0387,S3,3,52,control
250,201,250,0.5098,0.16165,random,250,355,0.0,0.0029,S3,4,105,control
250,90,250,0.8479,0.05626,nsga2,250,304,0.1481,0.0404,S3,4,54,control
250,202,250,0.3097,0.26029,random,250,324,0.0,0.0027,S3,5,74,control
250,94,250,0.9414,0.03918,nsga2,250,298,0.1111,0.0391,S3,5,48,control
250,201,250,0.5919,0.17711,random,250,371,0.0,0.0029,S3,6,121,control
250,108,250,0.8412,0.03946,nsga2,250,333,0.2963,0.0511,S3,6,83,control
250,199,250,0.5937,0.30682,random,250,361,0.037,0.003,S3,7,111,control
250,127,250,0.5498,0.24018,nsga2,250,296,0.0,0.0511,S3,7,46,control
250,192,250,0.3226,0.34266,random,250,366,0.0,0.0033,S3,8,116,control
250,106,250,0.6718,0.16048,nsga2,250,298,0.0,0.0463,S3,8,48,control
