budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
34560,0,34560,1.0,0.0,exhaustive,34560,34560,1.0,0.3561,S3,,0,sensing
43,0,43,1.0,0.0,HCA-DSE,43,43,1.0,0.0741,S3,,0,sensing
100,76,100,0.0,0.84533,random,100,130,0.0,0.0011,S3,0,30,sensing
100,61,100,0.3247,0.33852,nsga2,100,137,0.037,0.0157,S3,0,37,sensing
100,79,100,0.5329,0.26178,random,100,154,0.0,0.0013,S3,1,54,sensing
100,57,100,0.0256,0.47259,nsga2,100,131,0.037,0.0142,S3,1,31,sensing
100,77,100,0.0071,0.71203,random,100,150,0.0,0.0011,S3,2,50,sensing
100,62,100,0.3916,0.2877,nsga2,100,139,0.0,0.0162,S3,2,39,sensing
100,78,100,0.229,0.40003,random,100,163,0.0,0.0012,S3,3,63,sensing
100,50,100,0.0241,0.57636,nsga2,100,125,0.0,0.0142,S3,3,25,sensing
100,70,100,0.1744,0.54441,random,100,140,0.0,0.0011,S3,4,40,sensing
100,47,100,0.0082,0.78413,nsga2,100,132,0.0,0.0137,S3,4,32,sensing
100,83,100,0.0,1.29128,random,100,129,0.0,0.001,S3,5,29,sensing
100,50,100,0.5274,0.29236,nsga2,100,134,0.0,0.0137,S3,5,34,sensing
100,85,100,0.0,1.2502,random,100,145,0.0,0.001,S3,6,45,sensing
100,67,100,0.0,1.18659,nsga2,100,148,0.0,0.0148,S3,6,48,sensing
100,77,100,0.0251,0.79809,random,100,147,0.0,0.0011,S3,7,47,sensing
100,72,100,0.485,0.32092,nsga2,100,152,0.0,0.0193,S3,7,52,sensing
100,80,100,0.1415,0.56343,random,100,141,0.0,0.0012,S3,8,41,sensing
100,51,100,0.0323,0.45695,nsga2,100,133,0.037,0.0125,S3,8,33,sensing
100,83,100,0.0,1.15539,random,100,152,0.0,0.001,S3,9,52,sensing
100,71,100,0.0,1.00076,nsga2,100,141,0.0,0.0187,S3,9,41,sensing
100,78,100,0.0,1.20709,random,100,155,0.0,0.0012,S3,10,55,sensing
100,59,100,0.072,0.4111,nsga2,100,133,0.0,0.0137,S3,10,33,sensing
100,77,100,0.2913,0.62612,random,100,158,0.0,0.0012,S3,11,58,sensing
100,65,100,0.0573,0.35094,nsga2,100,127,0.037,0.0144,S3,11,27,sensing
100,79,100,0.31,0.39395,random,100,141,0.0,0.001,S3,12,41,sensing
100,78,100,0.4329,0.33848,nsga2,100,133,0.0,0.0162,S3,12,33,sensing
100,80,100,0.6842,0.25781,random,100,148,0.0,0.0012,S3,13,48,sensing
100,48,100,0.1256,0.56563,nsga2,100,136,0.0,0.0152,S3,13,36,sensing
100,82,100,0.045,0.47034,random,100,153,0.0,0.0012,S3,14,53,sensing
100,58,100,0.0,0.92689,nsga2,100,119,0.0,0.0103,S3,14,19,sensing
100,76,100,0.0972,0.59032,random,100,153,0.0,0.0012,S3,15,53,sensing
100,54,100,0.0088,0.76379,nsga2,100,142,0.0,0.0143,S3,15,42,sensing
100,79,100,0.0,1.70761,random,100,156,0.0,0.0011,S3,16,56,sensing
100,63,100,0.0487,0.58598,nsga2,100,138,0.0,0.0142,S3,16,38,sensing
100,75,100,0.006,0.80118,random,100,148,0.0,0.0011,S3,17,48,sensing
100,50,100,0.3573,0.5861,nsga2,100,117,0.0,0.0116,S3,17,17,sensing
100,76,100,0.0283,0.49051,random,100,154,0.0,0.0011,S3,18,54,sensing
100,62,100,0.0507,0.37302,nsga2,100,130,0.0,0.013,S3,18,30,sensing
100,74,100,0.3193,0.4217,random,100,147,0.0,0.001,S3,19,47,sensing
100,52,100,0.008,0.73749,nsga2,100,128,0.0,0.0126,S3,19,28,sensing
250,185,250,0.0714,0.515,random,250,361,0.0,0.003,S3,0,111,sensing
250,100,250,0.4582,0.167,nsga2,250,311,0.0741,0.0361,S3,0,61,sensing
250,197,250,0.5678,0.21935,random,250,377,0.0,0.0027,S3,1,127,sensing
250,90,250,0.3327,0.15817,nsga2,250,280,0.2593,0.0319,S3,1,30,sensing
250,186,250,0.1685,0.50922,random,250,389,0.0,0.0036,S3,2,139,sensing
250,113,250,0.6237,0.11931,nsga2,250,301,0.037,0.04,S3,2,51,sensing
250,188,250,0.5334,0.29002,random,250,402,0.0,0.0032,S3,3,152,sensing
250,94,250,0.0576,0.37402,nsga2,250,280,0.0,0.0346,S3,3,30,sensing
250,183,250,0.1756,0.54441,random,250,355,0.0,0.0029,S3,4,105,sensing
250,69,250,0.0737,0.36677,nsga2,250,283,0.037,0.0365,S3,4,33,sensing
250,193,250,0.2761,0.41422,random,250,324,0.0,0.0027,S3,5,74,sensing
250,104,250,0.8445,0.10879,nsga2,250,297,0.0741,0.0363,S3,5,47,sensing
250,206,250,0.0796,0.5953,random,250,371,0.0,0.0029,S3,6,121,sensing
250,81,250,0.0053,0.87112,nsga2,250,316,0.0,0.0359,S3,6,66,sensing
250,184,250,0.8387,0.13534,random,250,361,0.0741,0.0028,S3,7,111,sensing
250,113,250,0.5644,0.26461,nsga2,250,307,0.0,0.033,S3,7,57,sensing
250,188,250,0.1855,0.46406,random,250,366,0.0,0.0031,S3,8,116,sensing
250,70,250,0.5377,0.0912,nsga2,250,288,0.2963,0.0365,S3,8,38,sensing
250,202,250,0.047,0.34363,random,250,367,0.037,0.0027,S3,9,117,sensing
250,113,250,0.0295,0.61867,nsga2,250,295,0.0,0.0357,S3,9,45,sensing
250,198,250,0.6088,0.2766,random,250,380,0.0,0.0027,S3,10,130,sensing
250,98,250,0.5014,0.20071,nsga2,250,294,0.0,0.039,S3,10,44,sensing
250,185,250,0.3024,0.37472,random,250,372,0.0,0.0026,S3,11,122,sensing
250,104,250,0.0651,0.3275,nsga2,250,276,0.0741,0.0337,S3,11,26,sensing
250,193,250,0.3112,0.39395,random,250,361,0.0,0.0028,S3,12,111,sensing
250,125,250,0.3522,0.20433,nsga2,250,290,0.037,0.0335,S3,12,40,sensing
250,193,250,0.6868,0.20358,random,250,381,0.0,0.0026,S3,13,131,sensing
250,89,250,0.2246,0.45816,nsga2,250,309,0.0,0.0369,S3,13,59,sensing
250,192,250,0.1655,0.30686,random,250,363,0.0,0.0029,S3,14,113,sensing
250,100,250,0.0854,0.43228,nsga2,250,274,0.0741,0.0314,S3,14,24,sensing
250,194,250,0.1779,0.48009,random,250,373,0.0,0.0027,S3,15,123,sensing
250,71,250,0.5001,0.28822,nsga2,250,306,0.0,0.0368,S3,15,56,sensing
250,200,250,0.5415,0.35723,random,250,378,0.0,0.0027,S3,16,128,sensing
250,97,250,0.0899,0.27836,nsga2,250,296,0.1852,0.0338,S3,16,46,sensing
250,175,250,0.09,0.45775,random,250,365,0.0,0.0031,S3,17,115,sensing
250,82,250,0.8116,0.07125,nsga2,250,287,0.037,0.0351,S3,17,37,sensing
250,196,250,0.0304,0.44762,random,250,358,0.0,0.0026,S3,18,108,sensing
250,87,250,0.0626,0.34301,nsga2,250,282,0.037,0.0331,S3,18,32,sensing
250,194,250,0.3679,0.34257,random,250,365,0.0,0.0025,S3,19,115,sensing
