budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
34560,0,34560,1.0,0.0,exhaustive,34560,34560,1.0,0.392,S3,,0,telemetry
56,0,56,1.0,0.0,HCA-DSE,56,56,1.0,0.0712,S3,,0,telemetry
100,71,100,0.0675,0.4854,random,100,130,0.0,0.0013,S3,0,30,telemetry
100,65,100,0.3503,0.49194,nsga2,100,137,0.0323,0.0176,S3,0,37,telemetry
100,76,100,0.5513,0.18843,random,100,154,0.0,0.0011,S3,1,54,telemetry
100,61,100,0.2315,0.47453,nsga2,100,127,0.0,0.0157,S3,1,27,telemetry
100,75,100,0.119,0.50354,random,100,150,0.0,0.0011,S3,2,50,telemetry
100,58,100,0.2149,0.35001,nsga2,100,137,0.0,0.0162,S3,2,37,telemetry
100,63,100,0.4588,0.33232,random,100,163,0.0,0.0016,S3,3,63,telemetry
100,49,100,0.4142,0.30929,nsga2,100,129,0.0,0.0162,S3,3,29,telemetry
100,70,100,0.4504,0.37315,random,100,140,0.0,0.0011,S3,4,40,telemetry
100,68,100,0.0866,0.38203,nsga2,100,132,0.0,0.0146,S3,4,32,telemetry
100,77,100,0.1491,0.38543,random,100,129,0.0,0.0011,S3,5,29,telemetry
100,44,100,0.5671,0.19435,nsga2,100,129,0.0323,0.012,S3,5,29,telemetry
100,67,100,0.1165,0.34964,random,100,145,0.0,0.0014,S3,6,45,telemetry
100,62,100,0.0682,0.78324,nsga2,100,145,0.0,0.0192,S3,6,45,telemetry
100,73,100,0.0631,0.58166,random,100,147,0.0,0.0012,S3,7,47,telemetry
100,61,100,0.2164,0.51104,nsga2,100,133,0.0,0.0146,S3,7,33,telemetry
100,69,100,0.3114,0.46039,random,100,141,0.0,0.0012,S3,8,41,telemetry
100,50,100,0.0562,0.49208,nsga2,100,136,0.0,0.0129,S3,8,36,telemetry
100,73,100,0.1203,0.41526,random,100,152,0.0,0.0011,S3,9,52,telemetry
100,80,100,0.0193,0.65616,nsga2,100,148,0.0323,0.0156,S3,9,48,telemetry
100,79,100,0.4396,0.31779,random,100,155,0.0,0.0011,S3,10,55,telemetry
100,54,100,0.6068,0.18545,nsga2,100,132,0.0,0.017,S3,10,32,telemetry
100,75,100,0.6891,0.30732,random,100,158,0.0,0.0011,S3,11,58,telemetry
100,60,100,0.06,0.49174,nsga2,100,123,0.0,0.0124,S3,11,23,telemetry
100,78,100,0.178,0.43453,random,100,141,0.0,0.0011,S3,12,41,telemetry
100,61,100,0.6388,0.24118,nsga2,100,133,0.0,0.0161,S3,12,33,telemetry
100,71,100,0.4244,0.34044,random,100,148,0.0,0.0012,S3,13,48,telemetry
100,70,100,0.048,0.70336,nsga2,100,134,0.0,0.0167,S3,13,34,telemetry
100,67,100,0.4186,0.29938,random,100,153,0.0,0.0012,S3,14,53,telemetry
100,56,100,0.0422,0.64495,nsga2,100,127,0.0,0.0121,S3,14,27,telemetry
100,79,100,0.4675,0.3952,random,100,153,0.0,0.0011,S3,15,53,telemetry
100,49,100,0.0,0.74049,nsga2,100,147,0.0,0.0164,S3,15,47,telemetry
