budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
3888,0,3888,1.0,0.0,exhaustive,3888,3888,1.0,0.05,S2,,0,control
39,0,39,1.0,0.0,HCA-DSE,39,39,1.0,0.0145,S2,,0,control
100,49,100,0.1974,0.30156,random,100,141,0.0,0.0012,S2,0,41,control
100,41,100,0.657,0.11509,nsga2,100,147,0.16,0.0202,S2,0,47,control
100,50,100,0.7795,0.0961,random,100,160,0.08,0.0014,S2,1,60,control
100,31,100,0.6872,0.12595,nsga2,100,127,0.0,0.0138,S2,1,27,control
100,53,100,0.8439,0.15664,random,100,156,0.08,0.0013,S2,2,56,control
100,29,100,0.8016,0.08383,nsga2,100,130,0.08,0.0153,S2,2,30,control
100,64,100,0.7488,0.18597,random,100,155,0.04,0.0013,S2,3,55,control
100,32,100,0.8103,0.07226,nsga2,100,132,0.04,0.0146,S2,3,32,control
100,60,100,0.6327,0.12878,random,100,138,0.04,0.0011,S2,4,38,control
100,39,100,0.2101,0.35769,nsga2,100,124,0.0,0.0125,S2,4,24,control
100,55,100,0.6649,0.12443,random,100,145,0.04,0.0012,S2,5,45,control
100,45,100,0.5712,0.19725,nsga2,100,137,0.04,0.0132,S2,5,37,control
100,56,100,0.7648,0.08678,random,100,151,0.04,0.0013,S2,6,51,control
100,44,100,0.715,0.10744,nsga2,100,130,0.08,0.0134,S2,6,30,control
100,55,100,0.7026,0.11795,random,100,147,0.04,0.0012,S2,7,47,control
100,35,100,0.7347,0.06918,nsga2,100,122,0.12,0.0117,S2,7,22,control
100,52,100,0.7058,0.14339,random,100,139,0.04,0.0012,S2,8,39,control
100,25,100,0.5678,0.16232,nsga2,100,130,0.0,0.0138,S2,8,30,control
100,59,100,0.5206,0.16842,random,100,145,0.04,0.0013,S2,9,45,control
100,51,100,0.732,0.16142,nsga2,100,132,0.04,0.0141,S2,9,32,control
100,56,100,0.6802,0.1487,random,100,160,0.0,0.0012,S2,10,60,control
100,36,100,0.738,0.10111,nsga2,100,131,0.08,0.015,S2,10,31,control
100,48,100,0.4984,0.17165,random,100,162,0.0,0.0013,S2,11,62,control
100,54,100,0.4306,0.19798,nsga2,100,129,0.04,0.0139,S2,11,29,control
100,58,100,0.722,0.13299,random,100,147,0.0,0.0013,S2,12,47,control
100,49,100,0.8941,0.07672,nsga2,100,135,0.08,0.0141,S2,12,35,control
100,52,100,0.7879,0.2029,random,100,158,0.0,0.0014,S2,13,58,control
100,39,100,0.5205,0.44664,nsga2,100,136,0.0,0.0157,S2,13,36,control
100,48,100,0.8917,0.0642,random,100,159,0.08,0.0013,S2,14,59,control
100,47,100,0.5456,0.21389,nsga2,100,122,0.0,0.0121,S2,14,22,control
100,48,100,0.5473,0.1944,random,100,146,0.0,0.0013,S2,15,46,control
100,39,100,0.6544,0.21004,nsga2,100,149,0.0,0.0155,S2,15,49,control
100,51,100,0.6511,0.20553,random,100,154,0.04,0.0013,S2,16,54,control
100,35,100,0.5967,0.08618,nsga2,100,127,0.16,0.0138,S2,16,27,control
100,49,100,0.6706,0.12177,random,100,147,0.0,0.0013,S2,17,47,control
100,38,100,0.5991,0.18877,nsga2,100,117,0.0,0.0126,S2,17,17,control
100,53,100,0.7047,0.13257,random,100,141,0.0,0.0012,S2,18,41,control
100,57,100,0.4145,0.41306,nsga2,100,124,0.04,0.0124,S2,18,24,control
100,45,100,0.5642,0.17096,random,100,147,0.0,0.0014,S2,19,47,control
100,21,100,0.5674,0.1569,nsga2,100,118,0.0,0.0106,S2,19,18,control
250,129,250,0.8256,0.1228,random,250,352,0.04,0.0036,S2,0,102,control
250,61,250,0.8621,0.05554,nsga2,250,319,0.4,0.0407,S2,0,69,control
250,134,250,0.7907,0.07811,random,250,369,0.12,0.0035,S2,1,119,control
250,60,250,0.9045,0.04577,nsga2,250,291,0.2,0.0364,S2,1,41,control
250,137,250,0.8735,0.09425,random,250,397,0.08,0.0033,S2,2,147,control
250,65,250,0.9518,0.0201,nsga2,250,292,0.4,0.0402,S2,2,42,control
250,142,250,0.8644,0.06395,random,250,383,0.12,0.0034,S2,3,133,control
250,49,250,0.9163,0.03621,nsga2,250,298,0.12,0.0393,S2,3,48,control
