evals,exact,nodes,recall,scale,t,variant,workload
3888,True,6925,1.0,S2,0.0701,structural-only,telemetry
2714,True,5036,1.0,S2,0.1236,struct+feasibility,telemetry
89,True,724,1.0,S2,0.025,struct+dominance,telemetry
50,True,608,1.0,S2,0.0218,HCA-full,telemetry
3888,True,6925,1.0,S2,0.0701,structural-only,control
1923,True,3841,1.0,S2,0.1017,struct+feasibility,control
108,True,773,1.0,S2,0.0255,struct+dominance,control
39,True,587,1.0,S2,0.0206,HCA-full,control
3888,True,6925,1.0,S2,0.0521,structural-only,sensing
1578,True,3242,1.0,S2,0.0739,struct+feasibility,sensing
213,True,1010,1.0,S2,0.0275,struct+dominance,sensing
26,True,600,1.0,S2,0.0165,HCA-full,sensing
34560,True,61225,1.0,S3,0.482,structural-only,telemetry
12700,True,24650,1.0,S3,0.6132,struct+feasibility,telemetry
328,True,4622,1.0,S3,0.1745,struct+dominance,telemetry
56,True,2401,1.0,S3,0.088,HCA-full,telemetry
34560,True,61225,1.0,S3,0.4148,structural-only,control
7025,True,15979,1.0,S3,0.4583,struct+feasibility,control
405,True,4730,1.0,S3,0.1692,struct+dominance,control
43,True,2375,1.0,S3,0.0871,HCA-full,control
34560,True,61225,1.0,S3,0.4037,structural-only,sensing
10956,True,23118,1.0,S3,0.537,struct+feasibility,sensing
412,True,4804,1.0,S3,0.153,struct+dominance,sensing
43,True,3221,1.0,S3,0.1017,HCA-full,sensing
