evals,nodes,pareto,peak_kib,raw,runtime,visited_frac,workload
43,659,24,86.5,1296,0.0719,0.5084876543209876,telemetry
33,660,22,53.8,1296,0.0615,0.5092592592592593,control
18,391,10,26.2,1296,0.0252,0.30169753086419754,sensing
57,1994,30,59.3,5832,0.2327,0.34190672153635115,telemetry
53,1998,27,63.2,5832,0.2286,0.3425925925925926,control
30,1142,18,32.4,5832,0.1036,0.19581618655692729,sensing
60,7291,32,51.2,51840,0.9573,0.14064429012345678,telemetry
56,7294,29,64.4,51840,0.9211,0.14070216049382717,control
53,5183,27,51.7,51840,0.5458,0.09998070987654321,sensing
61,10346,33,55.3,345600,1.39,0.029936342592592594,telemetry
57,10349,30,68.5,345600,1.3411,0.029945023148148148,control
59,8643,30,62.9,345600,0.9536,0.025008680555555555,sensing
61,14081,33,59.3,2764800,1.9133,0.005092954282407408,telemetry
57,14084,30,85.6,2764800,1.8759,0.005094039351851852,control
61,12056,32,56.6,2764800,1.3987,0.004360532407407408,sensing
61,15618,33,77.2,15552000,2.1432,0.001004243827160494,telemetry
57,15621,30,77.8,15552000,2.0638,0.0010044367283950618,control
61,13216,32,77.6,15552000,1.5942,0.0008497942386831276,sensing
61,16778,33,85.2,82944000,2.3085,0.00020228105709876542,telemetry
57,16781,30,79.2,82944000,2.226,0.00020231722608024692,control
61,13888,32,74.3,82944000,1.7216,0.00016743827160493828,sensing
