L_analytical,L_sim,rel_err,workload
0.049092,0.030681,0.6001,telemetry
0.048684,0.030366,0.6033,telemetry
0.044932,0.025629,0.7531,telemetry
0.044524,0.025324,0.7582,telemetry
0.026292,0.019523,0.3467,telemetry
0.025884,0.019209,0.3475,telemetry
0.023852,0.014694,0.6232,telemetry
0.023444,0.014385,0.6297,telemetry
0.023435,0.013756,0.7036,telemetry
0.023027,0.013453,0.7116,telemetry
0.013845,0.013173,0.0511,telemetry
0.007965,0.006807,0.1703,telemetry
0.012563,0.011726,0.0714,telemetry
0.006683,0.005479,0.2198,telemetry
0.006656,0.005392,0.2343,telemetry
0.037663,0.023754,0.5855,telemetry
0.037255,0.023443,0.5892,telemetry
0.02322,0.015894,0.4609,telemetry
0.01734,0.011117,0.5598,telemetry
0.021938,0.014345,0.5292,telemetry
0.018464,0.01851,-0.0025,telemetry
0.033684,0.023256,0.4484,telemetry
0.028323,0.018698,0.5148,telemetry
0.051732,0.03772,0.3715,telemetry
0.044234,0.028239,0.5664,telemetry
0.0304,0.020667,0.4709,telemetry
0.029685,0.017585,0.6881,telemetry
0.023444,0.014385,0.6297,telemetry
0.019566,0.019083,0.0253,telemetry
0.028202,0.018,0.5668,telemetry
0.032679,0.019188,0.7031,telemetry
0.020875,0.020456,0.0205,telemetry
0.02781,0.020441,0.3605,telemetry
0.0628,0.067987,-0.0763,telemetry
0.012487,0.01086,0.1498,telemetry
0.039428,0.029169,0.3517,telemetry
0.029205,0.019767,0.4775,telemetry
0.029348,0.019167,0.5312,telemetry
0.013419,0.013289,0.0098,telemetry
0.03091,0.020688,0.4941,telemetry
0.023891,0.014081,0.6967,control
0.023726,0.013931,0.7031,control
0.022531,0.012679,0.777,control
0.022366,0.012527,0.7854,control
0.022253,0.012246,0.8172,control
0.022088,0.012098,0.8258,control
0.016101,0.01086,0.4826,control
0.012237,0.00848,0.4432,control
0.015032,0.009462,0.5887,control
0.011168,0.007234,0.5438,control
0.00962,0.007067,0.3612,control
0.005756,0.004876,0.1805,control
0.00855,0.005776,0.4803,control
0.004686,0.003831,0.2233,control
0.004663,0.003772,0.236,control
0.008835,0.006747,0.3094,control
0.004538,0.003982,0.1395,control
0.004514,0.003931,0.1483,control
0.021996,0.012199,0.8032,control
0.004475,0.004163,0.075,control
0.010685,0.009518,0.1227,control
0.029121,0.018034,0.6148,control
0.026723,0.011673,1.2893,control
0.026269,0.015989,0.6429,control
0.024085,0.013487,0.7858,control
0.024164,0.013796,0.7515,control
0.029328,0.020849,0.4067,control
0.00992,0.008411,0.1794,control
0.023613,0.012815,0.8426,control
0.005888,0.004649,0.2664,control
0.029076,0.023573,0.2334,control
0.022531,0.012679,0.777,control
0.024573,0.015492,0.5862,control
0.02775,0.015855,0.7503,control
0.007653,0.006118,0.251,control
0.005656,0.004897,0.1551,control
0.010569,0.010085,0.048,control
0.025424,0.015755,0.6137,control
0.026673,0.016072,0.6596,control
0.026332,0.015246,0.7272,control
0.103256,0.125619,-0.178,sensing
0.095681,0.121671,-0.2136,sensing
0.073256,0.063216,0.1588,sensing
0.065681,0.059283,0.1079,sensing
0.070523,0.064204,0.0984,sensing
0.062948,0.060362,0.0428,sensing
0.06271,0.059874,0.0474,sensing
0.061946,0.057399,0.0792,sensing
0.061065,0.054894,0.1124,sensing
0.061601,0.046946,0.3122,sensing
0.05467,0.046091,0.1861,sensing
0.054431,0.04576,0.1895,sensing
0.052017,0.046109,0.1281,sensing
0.051778,0.045762,0.1315,sensing
0.051673,0.045775,0.1289,sensing
0.332758,0.309606,0.0748,sensing
0.19323,0.089614,1.1562,sensing
0.075097,0.080603,-0.0683,sensing
0.06271,0.059874,0.0474,sensing
0.067014,0.066414,0.009,sensing
0.063636,0.066414,-0.0418,sensing
0.078717,0.063033,0.2488,sensing
0.208358,0.224091,-0.0702,sensing
0.189313,0.361076,-0.4757,sensing
0.184874,1.108175,-0.8332,sensing
0.255134,0.240356,0.0615,sensing
0.077422,0.06895,0.1229,sensing
0.13897,0.090238,0.54,sensing
0.289424,0.486925,-0.4056,sensing
0.080216,0.071497,0.1219,sensing
0.090025,0.094765,-0.05,sensing
0.169495,0.112184,0.5109,sensing
0.311485,0.32418,-0.0392,sensing
0.065681,0.059283,0.1079,sensing
0.103256,0.125619,-0.178,sensing
