budget,cliffs_delta,hca_n_eval,hca_recall,nsga2_hv_iqr,nsga2_hv_med,nsga2_recall_med,p_nsga2_gt_random,random_hv_med,scale,workload
100,0.23,50,1.0,0.2977,0.4391,0.0,0.109203,0.407,S2,control
250,0.58,50,1.0,0.2021,0.8419,0.304,0.000891,0.6709,S2,control
500,0.8,50,1.0,0.0564,0.9776,0.739,8e-06,0.7915,S2,control
1000,0.8,50,1.0,0.0038,0.9964,0.957,7e-06,0.8357,S2,control
100,0.223,24,1.0,0.4349,0.3011,0.0,0.116972,0.2137,S2,sensing
250,0.105,24,1.0,0.2616,0.6485,0.267,0.289609,0.6008,S2,sensing
500,0.39,24,1.0,0.131,0.8902,0.567,0.01802,0.8135,S2,sensing
1000,0.458,24,1.0,0.1118,0.9399,0.667,0.006857,0.8802,S2,sensing
100,0.215,47,1.0,0.4624,0.6131,0.018,0.125148,0.5386,S2,telemetry
250,0.425,47,1.0,0.2229,0.8403,0.315,0.011135,0.7316,S2,telemetry
500,0.75,47,1.0,0.0728,0.9886,0.759,2.6e-05,0.8636,S2,telemetry
1000,0.8,47,1.0,0.0016,0.9991,0.926,8e-06,0.9028,S2,telemetry
100,-0.24,64,1.0,0.1994,0.1217,0.0,0.905228,0.2096,S3,control
250,0.5,64,1.0,0.3962,0.5026,0.0,0.003557,0.3211,S3,control
500,0.535,64,1.0,0.5602,0.8425,0.26,0.001981,0.4274,S3,control
1000,0.445,64,1.0,0.6162,0.9726,0.72,0.008281,0.5501,S3,control
100,-0.19,41,1.0,0.0539,0.0327,0.0,0.851207,0.049,S3,sensing
250,0.275,41,1.0,0.4484,0.4009,0.0,0.07021,0.1935,S3,sensing
500,0.585,41,1.0,0.2407,0.7685,0.192,0.000813,0.3622,S3,sensing
1000,0.6,41,1.0,0.1146,0.9603,0.635,0.000613,0.4793,S3,sensing
100,-0.495,53,1.0,0.2256,0.0818,0.0,0.996443,0.3342,S3,telemetry
250,-0.105,53,1.0,0.5541,0.4265,0.0,0.719574,0.4204,S3,telemetry
500,0.12,53,1.0,0.831,0.8273,0.21,0.262493,0.6066,S3,telemetry
1000,0.19,53,1.0,0.878,0.961,0.726,0.155065,0.6769,S3,telemetry
