L_analytical,design,iqr_ms,kind,max_rho,n_e,p50_measured,p95_measured,policy,rel_err,repeats,spread,workload
0.029741375985286388,12,0.05,pareto,0.75,2,0.027011,0.027915,balanced,0.101,3,1.0,control
0.029591386892177586,13,0.11,pareto,0.75,2,0.026886,0.0279,balanced,0.101,3,1.0,control
0.023651446692357095,14,0.05,pareto,0.4,2,0.027846,0.028408,cloud-first,-0.151,3,1.0,control
0.023501457599248297,15,0.03,pareto,0.4,2,0.027758,0.028317,cloud-first,-0.153,3,1.0,control
0.022291446692357095,16,0.82,pareto,0.4,2,0.024714,0.036261,cloud-first,-0.098,3,1.03,control
0.022141457599248297,17,0.29,pareto,0.4,2,0.024517,0.035691,cloud-first,-0.097,3,1.01,control
0.012769024024024026,18,0.43,dominated,0.475,4,0.011649,0.014522,edge-first,0.096,3,1.04,control
0.023645280623061996,19,0.55,dominated,0.225,2,0.024977,0.026436,balanced,-0.053,3,1.02,control
0.022141457599248297,20,0.09,dominated,0.4,4,0.024502,0.025579,cloud-first,-0.096,3,1.0,control
0.02804961662699762,21,0.24,dominated,0.2,3,0.027959,0.028959,balanced,0.003,3,1.01,control
0.016540135135135133,22,0.38,boundary,0.8,3,0.011707,0.01389,edge-first,0.413,3,1.03,control
0.011388135135135136,23,0.34,boundary,0.8,3,0.007469,0.013274,edge-first,0.525,3,1.05,control
0.08242786885245901,24,398.96,pareto,0.75,2,0.293663,0.647077,cloud-first,-0.719,3,3.54,sensing
0.07669028436018957,25,1107.55,pareto,0.75,2,0.942106,1.842256,cloud-first,-0.919,3,3.14,sensing
0.06742786885245902,26,1.28,pareto,0.39,2,0.049071,0.068658,cloud-first,0.374,3,1.03,sensing
0.06169028436018957,27,2.92,pareto,0.375,2,0.044078,0.060796,cloud-first,0.4,3,1.07,sensing
0.06696161498248998,28,0.71,pareto,0.39,2,0.046412,0.075801,balanced,0.443,3,1.02,sensing
0.06122403049022053,29,1.04,pareto,0.24,2,0.042953,0.05761,balanced,0.425,3,1.02,sensing
0.06709215193234577,30,1.7,dominated,0.24,2,0.047975,0.079418,balanced,0.398,3,1.04,sensing
0.07430795543254559,31,2.3,dominated,0.45,3,0.051263,0.084052,balanced,0.45,3,1.05,sensing
0.06110479360627777,32,2.03,dominated,0.24,2,0.041654,0.048835,balanced,0.467,3,1.05,sensing
0.06742786885245902,33,0.66,dominated,0.39,2,0.049015,0.06492,cloud-first,0.376,3,1.01,sensing
0.1216084661783714,34,479.39,boundary,0.8,3,0.309879,0.983231,balanced,-0.608,3,5.2,sensing
0.08596503267973855,35,40.52,boundary,0.76,2,0.060602,0.373576,edge-first,0.419,3,2.01,sensing
0.040695833333333334,0,0.61,pareto,0.8,2,0.032793,0.034727,balanced,0.241,3,1.02,telemetry
0.04034202898550725,1,0.23,pareto,0.8,2,0.032742,0.054869,balanced,0.232,3,1.01,telemetry
0.03653583333333334,2,0.79,pareto,0.8,2,0.028918,0.030377,balanced,0.263,3,1.03,telemetry
0.03618202898550725,3,0.63,pareto,0.8,2,0.028689,0.029618,balanced,0.261,3,1.02,telemetry
0.025895833333333333,4,0.18,pareto,0.4,2,0.029402,0.030862,cloud-first,-0.119,3,1.01,telemetry
0.025542028985507247,5,0.03,pareto,0.4,2,0.029175,0.030358,cloud-first,-0.125,3,1.0,telemetry
0.03213671245421246,6,0.18,dominated,0.533,2,0.029821,0.031278,balanced,0.078,3,1.01,telemetry
0.024256666666666666,7,0.37,dominated,0.733,4,0.016092,0.021195,edge-first,0.507,3,1.02,telemetry
0.011153333333333333,8,0.24,dominated,0.467,4,0.010222,0.01137,edge-first,0.091,3,1.02,telemetry
0.030239107876765245,9,0.02,dominated,0.107,4,0.028674,0.029412,balanced,0.055,3,1.0,telemetry
0.040133695652173916,10,0.15,boundary,0.8,2,0.03255,0.033596,balanced,0.233,3,1.0,telemetry
0.0404875,11,0.6,boundary,0.8,2,0.032889,0.033853,balanced,0.231,3,1.02,telemetry
