L_analytical,design,iqr_ms,kind,max_rho,n_e,p50_measured,p95_measured,policy,rel_err,repeats,workload
0.029741375985286388,12,0.21,pareto,0.75,2,0.02654,0.028788,balanced,0.121,3,control
0.029591386892177586,13,0.03,pareto,0.75,2,0.026721,0.029805,balanced,0.107,3,control
0.023651446692357095,14,0.04,pareto,0.4,2,0.026805,0.027642,cloud-first,-0.118,3,control
0.023501457599248297,15,0.03,pareto,0.4,2,0.026682,0.027537,cloud-first,-0.119,3,control
0.022291446692357095,16,0.4,pareto,0.4,2,0.024151,0.024954,cloud-first,-0.077,3,control
0.022141457599248297,17,0.06,pareto,0.4,2,0.024129,0.025035,cloud-first,-0.082,3,control
0.024972616626997617,18,0.12,dominated,0.5,2,0.024357,0.025674,balanced,0.025,3,control
0.02634123874402944,19,0.15,dominated,0.45,2,0.027146,0.028443,balanced,-0.03,3,control
0.022291446692357095,20,0.13,dominated,0.4,2,0.024193,0.025267,cloud-first,-0.079,3,control
0.01061141366223909,21,2.9,dominated,0.38,2,0.023845,0.044096,edge-first,-0.555,3,control
0.024972616626997617,22,0.12,boundary,0.5,2,0.024385,0.025972,balanced,0.024,3,control
0.02876461662699762,23,0.12,boundary,0.5,2,0.029808,0.038791,balanced,-0.035,3,control
0.08242786885245901,24,23.88,pareto,0.75,2,0.178173,0.36557,cloud-first,-0.537,3,sensing
0.07669028436018957,25,39.5,pareto,0.75,2,0.192604,0.444203,cloud-first,-0.602,3,sensing
0.06696161498248998,26,3.99,pareto,0.39,2,0.103169,0.198307,balanced,-0.351,3,sensing
0.06122403049022053,27,1.33,pareto,0.24,2,0.09813,0.199198,balanced,-0.376,3,sensing
0.07669028436018957,28,78.3,dominated,0.75,2,0.178402,0.348788,cloud-first,-0.57,3,sensing
0.08696087259548368,29,1.67,dominated,0.6,2,0.111024,0.226899,balanced,-0.217,3,sensing
0.09381262626262625,30,30.52,dominated,0.76,2,0.194812,0.466898,edge-first,-0.518,3,sensing
0.0948084661783714,31,8.14,dominated,0.6,2,0.122473,0.245136,balanced,-0.226,3,sensing
0.07480920856537768,32,2.56,boundary,0.45,2,0.110182,0.214237,balanced,-0.321,3,sensing
0.07669028436018957,33,2.76,boundary,0.75,2,0.167079,0.347551,cloud-first,-0.541,2,sensing
0.040695833333333334,0,0.84,pareto,0.8,2,0.038846,0.05327,balanced,0.048,3,telemetry
0.04034202898550725,1,2.34,pareto,0.8,2,0.038048,0.053064,balanced,0.06,3,telemetry
0.03653583333333334,2,0.53,pareto,0.8,2,0.029517,0.03448,balanced,0.238,3,telemetry
0.03618202898550725,3,0.65,pareto,0.8,2,0.029062,0.03303,balanced,0.245,3,telemetry
0.025895833333333333,4,1.14,pareto,0.4,2,0.034721,0.055445,cloud-first,-0.254,3,telemetry
0.025542028985507247,5,1.15,pareto,0.4,2,0.034348,0.050683,cloud-first,-0.256,3,telemetry
0.03178290810638637,6,61.11,dominated,0.533,2,1.713593,2.809643,balanced,-0.981,3,telemetry
0.02310202898550725,7,0.22,dominated,0.4,2,0.024838,0.026568,cloud-first,-0.07,3,telemetry
0.028286648488327595,8,1.16,dominated,0.2,2,0.035152,0.051667,balanced,-0.195,3,telemetry
0.02617348305084746,9,1.01,dominated,0.4,2,0.025865,0.027967,balanced,0.012,3,telemetry
0.03936767001114828,10,0.27,boundary,0.8,2,0.037773,0.054569,balanced,0.042,3,telemetry
0.027309267080745343,11,0.23,boundary,0.533,2,0.026502,0.029157,balanced,0.03,3,telemetry
