L_analytical,design,iqr_ms,kind,max_rho,n_e,p50_measured,p95_measured,policy,rel_err,repeats,spread,workload
0.029741375985286388,12,0.93,pareto,0.75,2,0.027089,0.028132,balanced,0.098,3,1.07,control
0.029591386892177586,13,0.44,pareto,0.75,2,0.027063,0.027967,balanced,0.093,3,1.03,control
0.023651446692357095,14,3.75,pareto,0.4,2,0.02808,0.028763,cloud-first,-0.158,3,1.27,control
0.023501457599248297,15,0.28,pareto,0.4,2,0.027844,0.028455,cloud-first,-0.156,3,1.02,control
0.022291446692357095,16,0.06,pareto,0.4,2,0.024724,0.025329,cloud-first,-0.098,3,1.01,control
0.022141457599248297,17,0.11,pareto,0.4,2,0.024559,0.025205,cloud-first,-0.098,3,1.01,control
0.012769024024024026,18,0.42,dominated,0.475,4,0.012888,0.017172,edge-first,-0.009,3,1.07,control
0.023645280623061996,19,0.22,dominated,0.225,2,0.025062,0.025542,balanced,-0.057,3,1.02,control
0.022141457599248297,20,0.38,dominated,0.4,4,0.024561,0.025094,cloud-first,-0.099,3,1.03,control
0.02804961662699762,21,0.47,dominated,0.2,3,0.028084,0.028914,balanced,-0.001,3,1.03,control
0.016540135135135133,22,0.25,boundary,0.8,3,0.012581,0.015562,edge-first,0.315,3,1.04,control
0.011388135135135136,23,15.92,boundary,0.8,3,0.009056,0.014837,edge-first,0.258,3,4.81,control
0.08242786885245901,24,3458.12,pareto,0.75,2,7.03058,12.180098,cloud-first,-0.988,3,18.98,sensing
0.07669028436018957,25,1810.45,pareto,0.75,2,2.785915,6.540877,cloud-first,-0.972,3,23.59,sensing
0.06742786885245902,26,0.43,pareto,0.39,2,0.053388,0.070182,cloud-first,0.263,3,1.02,sensing
0.06169028436018957,27,5.85,pareto,0.375,2,0.051473,0.073099,cloud-first,0.199,3,1.23,sensing
0.06696161498248998,28,3.73,pareto,0.39,2,0.050193,0.0673,balanced,0.334,3,1.15,sensing
0.06122403049022053,29,1.69,pareto,0.24,2,0.047728,0.066372,balanced,0.283,3,1.08,sensing
0.06709215193234577,30,0.57,dominated,0.24,2,0.051293,0.075544,balanced,0.308,3,1.02,sensing
0.07430795543254559,31,1.19,dominated,0.45,3,0.055173,0.069828,balanced,0.347,3,1.04,sensing
0.06110479360627777,32,2.61,dominated,0.24,2,0.045082,0.053758,balanced,0.355,3,1.12,sensing
0.06742786885245902,33,1.56,dominated,0.39,2,0.053841,0.081038,cloud-first,0.252,3,1.06,sensing
0.1216084661783714,34,940.89,boundary,0.8,3,0.443543,1.223479,balanced,-0.726,3,27.94,sensing
0.08596503267973855,35,87.46,boundary,0.76,2,0.1805,0.462154,edge-first,-0.524,3,2.95,sensing
0.040695833333333334,0,8.46,pareto,0.8,2,0.033349,0.035377,balanced,0.22,3,1.51,telemetry
0.04034202898550725,1,8.11,pareto,0.8,2,0.033709,0.038867,balanced,0.197,3,1.49,telemetry
0.03653583333333334,2,0.38,pareto,0.8,2,0.028882,0.029992,balanced,0.265,3,1.03,telemetry
0.03618202898550725,3,0.35,pareto,0.8,2,0.028867,0.031289,balanced,0.253,3,1.02,telemetry
0.025895833333333333,4,0.1,pareto,0.4,2,0.029634,0.030976,cloud-first,-0.126,3,1.01,telemetry
0.025542028985507247,5,0.53,pareto,0.4,2,0.029572,0.03135,cloud-first,-0.136,3,1.04,telemetry
0.03213671245421246,6,0.55,dominated,0.533,2,0.030435,0.032061,balanced,0.056,3,1.04,telemetry
0.024256666666666666,7,1.07,dominated,0.733,4,0.01786,0.024583,edge-first,0.358,3,1.13,telemetry
0.011153333333333333,8,0.49,dominated,0.467,4,0.010625,0.012549,edge-first,0.05,3,1.1,telemetry
0.030239107876765245,9,0.14,dominated,0.107,4,0.029111,0.030979,balanced,0.039,3,1.01,telemetry
0.040133695652173916,10,3.88,boundary,0.8,2,0.033134,0.035257,balanced,0.211,3,1.24,telemetry
0.0404875,11,0.15,boundary,0.8,2,0.033088,0.034993,balanced,0.224,3,1.01,telemetry
