MAPE,agree_10pct,agree_25pct,kendall,measured_spread,median_AE_ms,median_repeat_iqr_ms,n,pairs_10pct,pairs_25pct,spearman,subset,workload
15.7,0.917,0.909,0.779,2.74,2.56,0.27,12,48,44,0.872,all,control
9.5,0.852,0.833,0.674,1.4,2.4,0.17,10,27,24,0.778,rho<=0.75,control
50.0,0.957,0.957,0.87,21.62,20.0,2.17,12,46,23,0.949,all,sensing
49.7,1.0,1.0,0.944,21.62,19.28,1.86,10,26,5,0.985,rho<=0.75,sensing
41.7,1.0,nan,0.982,0.23,18.77,1.49,8,11,0,0.994,reproducible,sensing
20.3,0.852,0.895,0.727,2.22,7.54,0.23,12,54,38,0.839,all,telemetry
16.2,0.818,1.0,0.733,1.92,2.91,0.18,6,11,7,0.829,rho<=0.75,telemetry
28.7,0.968,0.982,0.893,125.14,7.54,0.49,36,561,498,0.97,all,ALL
26.5,0.962,0.982,0.861,91.16,3.91,0.4,26,266,222,0.948,rho<=0.75,ALL
23.9,0.963,0.979,0.881,5.86,4.54,0.38,32,430,379,0.96,reproducible,ALL
