L_analytical,design_idx,edge_cls,errors,key,kind,link_cls,mean,n,n_e,n_g,ok,p50,p95,p99,policy,rep_factor,repeat,wall,workload
0.040695833333333334,0,edge-low,0,telemetry|0|0,pareto,standard,0.032971750618666654,750,2,1,True,0.032792959,0.034727292,0.036584416,balanced,1,0,4.6,telemetry
0.040695833333333334,0,edge-low,0,telemetry|0|1,pareto,standard,0.032976482243999995,750,2,1,True,0.032769917,0.034386791,0.035171209,balanced,1,1,4.4,telemetry
0.040695833333333334,0,edge-low,0,telemetry|0|2,pareto,standard,0.03998159546133332,750,2,1,True,0.033384334,0.085078125,0.114215709,balanced,1,2,4.3,telemetry
0.04034202898550725,1,edge-low,0,telemetry|1|0,pareto,standard,0.03305295485066669,750,2,1,True,0.0327375,0.035145375,0.037588583,balanced,1,0,4.7,telemetry
0.04034202898550725,1,edge-low,0,telemetry|1|1,pareto,standard,0.035404566092000024,750,2,1,True,0.032742125,0.054869458,0.078700917,balanced,1,1,4.5,telemetry
0.04034202898550725,1,edge-low,0,telemetry|1|2,pareto,standard,0.03846717557333338,750,2,1,True,0.032967417,0.076018042,0.107579,balanced,1,2,4.6,telemetry
0.03653583333333334,2,edge-low,0,telemetry|2|0,pareto,fast,0.03183972752133331,750,2,1,True,0.029039292,0.042639792,0.079450542,balanced,1,0,4.6,telemetry
0.03653583333333334,2,edge-low,0,telemetry|2|1,pareto,fast,0.02858864633999997,750,2,1,True,0.028249125,0.030376625,0.04006875,balanced,1,1,4.3,telemetry
0.03653583333333334,2,edge-low,0,telemetry|2|2,pareto,fast,0.029046959395999983,750,2,1,True,0.028917833,0.0298245,0.031417792,balanced,1,2,4.1,telemetry
0.03618202898550725,3,edge-low,0,telemetry|3|0,pareto,fast,0.0287910757706667,750,2,1,True,0.028689,0.030199458,0.031484791,balanced,1,0,4.2,telemetry
0.03618202898550725,3,edge-low,0,telemetry|3|1,pareto,fast,0.02887996805866664,750,2,1,True,0.028771125,0.029617708,0.031322333,balanced,1,1,4.4,telemetry
0.03618202898550725,3,edge-low,0,telemetry|3|2,pareto,fast,0.028178432632000035,750,2,1,True,0.028146083,0.028979666,0.030198125,balanced,1,2,4.2,telemetry
0.025895833333333333,4,edge-low,0,telemetry|4|0,pareto,standard,0.029551203366666636,750,2,1,True,0.029401917,0.030861542,0.031551459,cloud-first,1,0,4.2,telemetry
0.025895833333333333,4,edge-low,0,telemetry|4|1,pareto,standard,0.030041544674666673,750,2,1,True,0.029527958,0.031424791,0.04399225,cloud-first,1,1,4.3,telemetry
0.025895833333333333,4,edge-low,0,telemetry|4|2,pareto,standard,0.029467174362666684,750,2,1,True,0.029344917,0.030698208,0.031668,cloud-first,1,2,4.2,telemetry
0.025542028985507247,5,edge-low,0,telemetry|5|0,pareto,standard,0.029278320024000028,750,2,1,True,0.029158042,0.030403833,0.031519584,cloud-first,1,0,4.2,telemetry
0.025542028985507247,5,edge-low,0,telemetry|5|1,pareto,standard,0.029285358450666654,750,2,1,True,0.029175292,0.030357792,0.031121542,cloud-first,1,1,4.2,telemetry
0.025542028985507247,5,edge-low,0,telemetry|5|2,pareto,standard,0.029284217989333367,750,2,1,True,0.029189083,0.030355458,0.031468875,cloud-first,1,2,4.1,telemetry
0.03213671245421246,6,edge-med,0,telemetry|6|0,dominated,standard,0.029967803264000007,750,2,1,True,0.029683125,0.031580833,0.033043708,balanced,2,0,4.1,telemetry
0.03213671245421246,6,edge-med,0,telemetry|6|1,dominated,standard,0.03007036916933333,750,2,1,True,0.02986725,0.031278042,0.032144791,balanced,2,1,4.1,telemetry
0.03213671245421246,6,edge-med,0,telemetry|6|2,dominated,standard,0.029993738165333336,750,2,1,True,0.029820666,0.031159667,0.03218975,balanced,2,2,4.1,telemetry
0.024256666666666666,7,edge-med,0,telemetry|7|0,dominated,standard,0.01722586972133333,750,4,1,True,0.016354917,0.021893334,0.032378833,edge-first,3,0,4.4,telemetry
0.024256666666666666,7,edge-med,0,telemetry|7|1,dominated,standard,0.016801561720000018,750,4,1,True,0.016091792,0.021195291,0.024357959,edge-first,3,1,4.5,telemetry
0.024256666666666666,7,edge-med,0,telemetry|7|2,dominated,standard,0.01660920118400001,750,4,1,True,0.015988292,0.020249583,0.023110083,edge-first,3,2,4.4,telemetry
0.011153333333333333,8,edge-med,0,telemetry|8|0,dominated,fast,0.010222871392000003,750,4,2,True,0.010104458,0.01119175,0.0126075,edge-first,1,0,4.8,telemetry
0.011153333333333333,8,edge-med,0,telemetry|8|1,dominated,fast,0.010334293450666669,750,4,2,True,0.010221708,0.011369666,0.01280975,edge-first,1,1,4.7,telemetry
0.011153333333333333,8,edge-med,0,telemetry|8|2,dominated,fast,0.010558036177333328,750,4,2,True,0.010340083,0.012031167,0.014584792,edge-first,1,2,4.6,telemetry
0.030239107876765245,9,edge-high,0,telemetry|9|0,dominated,standard,0.028775625043999966,750,4,2,True,0.028673792,0.029412334,0.030024166,balanced,2,0,4.7,telemetry
0.030239107876765245,9,edge-high,0,telemetry|9|1,dominated,standard,0.028805420849333317,750,4,2,True,0.028687834,0.029462,0.030224666,balanced,2,1,4.7,telemetry
0.030239107876765245,9,edge-high,0,telemetry|9|2,dominated,standard,0.028768186809333348,750,4,2,True,0.028668334,0.029406375,0.029789208,balanced,2,2,4.7,telemetry
0.040133695652173916,10,edge-low,0,telemetry|10|0,boundary,standard,0.03273298335600001,750,2,2,True,0.032550417,0.033595917,0.035577583,balanced,1,0,4.3,telemetry
0.040133695652173916,10,edge-low,0,telemetry|10|1,boundary,standard,0.032850141345333324,750,2,2,True,0.03247975,0.034137,0.039172208,balanced,1,1,4.4,telemetry
0.040133695652173916,10,edge-low,0,telemetry|10|2,boundary,standard,0.032748914908,750,2,2,True,0.032633458,0.033596334,0.034699083,balanced,1,2,4.4,telemetry
0.0404875,11,edge-low,0,telemetry|11|0,boundary,standard,0.03300509157333331,750,2,2,True,0.032888959,0.033668084,0.034775,balanced,1,0,4.4,telemetry
0.0404875,11,edge-low,0,telemetry|11|1,boundary,standard,0.03271267278133331,750,2,2,True,0.032571625,0.033853125,0.036070417,balanced,1,1,4.3,telemetry
0.0404875,11,edge-low,0,telemetry|11|2,boundary,standard,0.034777939174666705,750,2,2,True,0.033169042,0.044419375,0.058860834,balanced,1,2,4.5,telemetry
0.029741375985286388,12,edge-low,0,control|12|0,pareto,fast,0.02717707852933331,750,2,1,True,0.027058666,0.0279795,0.02963275,balanced,1,0,3.5,control
0.029741375985286388,12,edge-low,0,control|12|1,pareto,fast,0.02711479633999996,750,2,1,True,0.02701125,0.027901667,0.029408375,balanced,1,1,3.5,control
0.029741375985286388,12,edge-low,0,control|12|2,pareto,fast,0.02713704126533336,750,2,1,True,0.027005875,0.027915333,0.029680125,balanced,1,2,3.5,control
0.029591386892177586,13,edge-low,0,control|13|0,pareto,fast,0.027089812905333313,750,2,1,True,0.026973333,0.0278995,0.028962667,balanced,1,0,3.5,control
0.029591386892177586,13,edge-low,0,control|13|1,pareto,fast,0.02696610348933333,750,2,1,True,0.026866125,0.027890708,0.029001,balanced,1,1,3.4,control
0.029591386892177586,13,edge-low,0,control|13|2,pareto,fast,0.02807818551600002,750,2,1,True,0.02688625,0.029090167,0.067866583,balanced,1,2,3.5,control
0.023651446692357095,14,edge-low,0,control|14|0,pareto,standard,0.027959288865333325,750,2,1,True,0.027873625,0.028453959,0.029984125,cloud-first,1,0,3.6,control
0.023651446692357095,14,edge-low,0,control|14|1,pareto,standard,0.0279243578,750,2,1,True,0.027846083,0.028408041,0.029317416,cloud-first,1,1,3.6,control
0.023651446692357095,14,edge-low,0,control|14|2,pareto,standard,0.027872815496000007,750,2,1,True,0.027818625,0.028294125,0.029239084,cloud-first,1,2,3.6,control
0.023501457599248297,15,edge-low,0,control|15|0,pareto,standard,0.02782714645866666,750,2,1,True,0.027758458,0.028305,0.028895834,cloud-first,1,0,3.6,control
0.023501457599248297,15,edge-low,0,control|15|1,pareto,standard,0.027834625944,750,2,1,True,0.027770083,0.028316708,0.028880833,cloud-first,1,1,3.4,control
0.023501457599248297,15,edge-low,0,control|15|2,pareto,standard,0.02783843296133334,750,2,1,True,0.027735709,0.028493375,0.029879583,cloud-first,1,2,3.6,control
0.022291446692357095,16,edge-low,0,control|16|0,pareto,fast,0.024592247410666634,750,2,1,True,0.024540917,0.024949417,0.025491542,cloud-first,1,0,3.5,control
0.022291446692357095,16,edge-low,0,control|16|1,pareto,fast,0.044464742364,750,2,1,True,0.025360625,0.153861958,0.24152475,cloud-first,1,1,4.2,control
0.022291446692357095,16,edge-low,0,control|16|2,pareto,fast,0.027222579936000007,750,2,1,True,0.024713875,0.036261167,0.069211834,cloud-first,1,2,4.3,control
0.022141457599248297,17,edge-low,0,control|17|0,pareto,fast,0.026561198161333358,750,2,1,True,0.024489208,0.035690708,0.072764417,cloud-first,1,0,4.1,control
0.022141457599248297,17,edge-low,0,control|17|1,pareto,fast,0.02463788179200002,750,2,1,True,0.02451725,0.025337125,0.02638675,cloud-first,1,1,4.0,control
0.022141457599248297,17,edge-low,0,control|17|2,pareto,fast,0.02830624968266666,750,2,1,True,0.024776958,0.049468042,0.068145625,cloud-first,1,2,4.1,control
0.012769024024024026,18,edge-med,0,control|18|0,dominated,standard,0.01222992034533332,750,4,2,True,0.011661417,0.0153435,0.022998916,edge-first,2,0,4.1,control
0.012769024024024026,18,edge-med,0,control|18|1,dominated,standard,0.011385566122666658,750,4,2,True,0.011229708,0.012769375,0.013940792,edge-first,2,1,4.4,control
0.012769024024024026,18,edge-med,0,control|18|2,dominated,standard,0.012084044991999998,750,4,2,True,0.011648833,0.014522041,0.017788292,edge-first,2,2,4.1,control
0.023645280623061996,19,edge-high,0,control|19|0,dominated,fast,0.02547953087066665,750,2,2,True,0.025180333,0.026743834,0.031758083,balanced,1,0,4.2,control
0.023645280623061996,19,edge-high,0,control|19|1,dominated,fast,0.025165276794666652,750,2,2,True,0.024977083,0.026436459,0.027796167,balanced,1,1,4.6,control
0.023645280623061996,19,edge-high,0,control|19|2,dominated,fast,0.024790084394666654,750,2,2,True,0.024627625,0.026233417,0.029869958,balanced,1,2,4.7,control
0.022141457599248297,20,edge-med,0,control|20|0,dominated,fast,0.02496780995066667,750,4,1,True,0.024502458,0.0273765,0.0325065,cloud-first,1,0,4.7,control
0.022141457599248297,20,edge-med,0,control|20|1,dominated,fast,0.024725037467999974,750,4,1,True,0.024452125,0.025579333,0.030676667,cloud-first,1,1,4.0,control
0.022141457599248297,20,edge-med,0,control|20|2,dominated,fast,0.024642336449333307,750,4,1,True,0.024544625,0.025300292,0.026118667,cloud-first,1,2,4.2,control
0.02804961662699762,21,edge-high,0,control|21|0,dominated,standard,0.028052793843999963,750,3,1,True,0.027885708,0.028959417,0.030315084,balanced,3,0,3.9,control
0.02804961662699762,21,edge-high,0,control|21|1,dominated,standard,0.028321422802666675,750,3,1,True,0.028126,0.029741417,0.030541125,balanced,3,1,3.9,control
0.02804961662699762,21,edge-high,0,control|21|2,dominated,standard,0.02809539317333333,750,3,1,True,0.027959,0.028873625,0.030460416,balanced,3,2,3.8,control
0.016540135135135133,22,edge-med,0,control|22|0,boundary,standard,0.011881454486666655,750,3,2,True,0.011575291,0.013745083,0.016314667,edge-first,3,0,3.9,control
0.016540135135135133,22,edge-med,0,control|22|1,boundary,standard,0.012561787314666676,750,3,2,True,0.011959333,0.016011792,0.0190575,edge-first,3,1,4.1,control
0.016540135135135133,22,edge-med,0,control|22|2,boundary,standard,0.012036453910666661,750,3,2,True,0.011706833,0.01389025,0.015192667,edge-first,3,2,4.0,control
0.011388135135135136,23,edge-med,0,control|23|0,boundary,fast,0.0077835794973333304,750,3,2,True,0.007358792,0.010008791,0.012564291,edge-first,3,0,3.9,control
0.011388135135135136,23,edge-med,0,control|23|1,boundary,fast,0.008597576963999994,750,3,2,True,0.007694792,0.013274125,0.016416709,edge-first,3,1,3.8,control
0.011388135135135136,23,edge-med,0,control|23|2,boundary,fast,0.010548636433333343,750,3,2,True,0.007469042,0.032077375,0.050982791,edge-first,3,2,4.0,control
0.08242786885245901,24,edge-low,0,sensing|24|0,pareto,fast,0.6218650440400004,750,2,1,True,0.556214958,1.239135084,1.5883345,cloud-first,1,0,17.0,sensing
0.08242786885245901,24,edge-low,0,sensing|24|1,pareto,fast,0.16758323437199996,750,2,1,True,0.157254333,0.367781666,0.446733542,cloud-first,1,1,16.6,sensing
0.08242786885245901,24,edge-low,0,sensing|24|2,pareto,fast,0.3015475917613333,750,2,1,True,0.293663208,0.647076792,0.802592167,cloud-first,1,2,16.8,sensing
0.07669028436018957,25,edge-low,0,sensing|25|0,pareto,fast,1.7068894574893347,750,2,1,True,1.626161834,3.378613169,4.224885793,cloud-first,1,0,17.8,sensing
0.07669028436018957,25,edge-low,0,sensing|25|1,pareto,fast,0.5487389217999998,750,2,1,True,0.518609667,1.003291542,1.248591083,cloud-first,1,1,16.9,sensing
0.07669028436018957,25,edge-low,0,sensing|25|2,pareto,fast,1.0085148856506667,750,2,1,True,0.942105667,1.842256084,2.268211001,cloud-first,1,2,17.1,sensing
0.06742786885245902,26,edge-low,0,sensing|26|0,pareto,fast,0.052919628844000005,750,2,2,True,0.0499885,0.069121209,0.132548292,cloud-first,1,0,16.6,sensing
0.06742786885245902,26,edge-low,0,sensing|26|1,pareto,fast,0.05216748863866669,750,2,2,True,0.049071084,0.068658,0.134062417,cloud-first,1,1,16.6,sensing
0.06742786885245902,26,edge-low,0,sensing|26|2,pareto,fast,0.05177375691733337,750,2,2,True,0.048707625,0.066816167,0.1339285,cloud-first,1,2,16.6,sensing
0.06169028436018957,27,edge-low,0,sensing|27|0,pareto,fast,0.04585068536533332,750,2,2,True,0.042880542,0.060796041,0.125309041,cloud-first,1,0,16.6,sensing
0.06169028436018957,27,edge-low,0,sensing|27|1,pareto,fast,0.04826420580933333,750,2,2,True,0.04580375,0.056529583,0.105670583,cloud-first,1,1,16.7,sensing
0.06169028436018957,27,edge-low,0,sensing|27|2,pareto,fast,0.04780945416933335,750,2,2,True,0.044078167,0.065582791,0.128272041,cloud-first,1,2,16.7,sensing
0.06696161498248998,28,edge-high,0,sensing|28|0,pareto,fast,0.050772432474666576,750,2,1,True,0.046411917,0.075800917,0.133968667,balanced,1,0,16.5,sensing
0.06696161498248998,28,edge-high,0,sensing|28|1,pareto,fast,0.051293404133333345,750,2,1,True,0.045967583,0.070660958,0.13412875,balanced,1,1,16.5,sensing
0.06696161498248998,28,edge-high,0,sensing|28|2,pareto,fast,0.050990637132000007,750,2,1,True,0.046675917,0.077983416,0.134298042,balanced,1,2,16.5,sensing
0.06122403049022053,29,edge-high,0,sensing|29|0,pareto,fast,0.04476209097333333,750,2,1,True,0.042556459,0.052321333,0.109694709,balanced,1,0,16.4,sensing
0.06122403049022053,29,edge-high,0,sensing|29|1,pareto,fast,0.04637615957733332,750,2,1,True,0.043600791,0.057610042,0.129339875,balanced,1,1,16.4,sensing
0.06122403049022053,29,edge-high,0,sensing|29|2,pareto,fast,0.04644269547333335,750,2,1,True,0.042953083,0.063818083,0.126640167,balanced,1,2,16.5,sensing
0.06709215193234577,30,edge-high,0,sensing|30|0,dominated,fast,0.052107254073333366,750,2,2,True,0.04797475,0.079418417,0.113829541,balanced,1,0,16.8,sensing
0.06709215193234577,30,edge-high,0,sensing|30|1,dominated,fast,0.04948074126133335,750,2,2,True,0.046995542,0.058359375,0.128078666,balanced,1,1,16.9,sensing
0.06709215193234577,30,edge-high,0,sensing|30|2,dominated,fast,0.05498791447333331,750,2,2,True,0.048699208,0.09613125,0.156512333,balanced,1,2,17.0,sensing
0.07430795543254559,31,edge-high,0,sensing|31|0,dominated,fast,0.06287216357733337,750,3,1,True,0.052757958,0.129253417,0.176387792,balanced,1,0,16.6,sensing
0.07430795543254559,31,edge-high,0,sensing|31|1,dominated,fast,0.05353510680133338,750,3,1,True,0.050454416,0.070683792,0.13213425,balanced,1,1,16.4,sensing
0.07430795543254559,31,edge-high,0,sensing|31|2,dominated,fast,0.05620747230933335,750,3,1,True,0.051263208,0.084051958,0.14085975,balanced,1,2,16.5,sensing
0.06110479360627777,32,edge-high,0,sensing|32|0,dominated,fast,0.042598200023999985,750,2,2,True,0.040043875,0.047668125,0.127484208,balanced,1,0,16.4,sensing
0.06110479360627777,32,edge-high,0,sensing|32|1,dominated,fast,0.044142410966666656,750,2,2,True,0.04165425,0.05317775,0.124549125,balanced,1,1,16.5,sensing
0.06110479360627777,32,edge-high,0,sensing|32|2,dominated,fast,0.04419128255866661,750,2,2,True,0.042078333,0.048835125,0.127033875,balanced,1,2,16.5,sensing
0.06742786885245902,33,edge-high,0,sensing|33|0,dominated,fast,0.0510548082466667,750,2,2,True,0.04846775,0.056362042,0.131885792,cloud-first,1,0,16.4,sensing
0.06742786885245902,33,edge-high,0,sensing|33|1,dominated,fast,0.05162611320399993,750,2,2,True,0.049125208,0.064919875,0.1102855,cloud-first,1,1,16.5,sensing
0.06742786885245902,33,edge-high,0,sensing|33|2,dominated,fast,0.052814417229333346,750,2,2,True,0.049015167,0.070846875,0.135667542,cloud-first,1,2,16.4,sensing
0.1216084661783714,34,edge-med,0,sensing|34|0,boundary,fast,0.3803971100933332,750,3,1,True,0.309879042,0.983231292,1.318946125,balanced,2,0,17.0,sensing
0.1216084661783714,34,edge-med,0,sensing|34|1,boundary,fast,0.16039803944133332,750,3,1,True,0.114060292,0.427910208,0.554872917,balanced,2,1,17.2,sensing
0.1216084661783714,34,edge-med,0,sensing|34|2,boundary,fast,0.8915244233986667,750,3,1,True,0.59344625,2.642954293,4.058313793,balanced,2,2,18.1,sensing
0.08596503267973855,35,edge-high,0,sensing|35|0,boundary,fast,0.17078172504266673,750,2,1,True,0.039929792,0.573413667,0.786819334,edge-first,1,0,16.5,sensing
0.08596503267973855,35,edge-high,0,sensing|35|1,boundary,fast,0.10884270816933328,750,2,1,True,0.080450417,0.268561291,0.330771208,edge-first,1,1,16.4,sensing
0.08596503267973855,35,edge-high,0,sensing|35|2,boundary,fast,0.10905723632666671,750,2,1,True,0.0606015,0.373576417,0.508809167,edge-first,1,2,16.6,sensing
