evals,exact,exh_evals,feasible,nodes,pareto,prec,pruned_bound,pruned_dom,pruned_struct,raw,recall,scale,speedup,t_bounds,t_dom,t_eval,t_exh,t_hca,workload
32,True,1080,25,249,17,1.0,208,840,216,1296,1.0,S1,2.25,0.0029,0.0012,0.0002,0.0114,0.0051,telemetry
28,True,1080,25,242,18,1.0,226,826,216,1296,1.0,S1,2.27,0.0029,0.0011,0.0002,0.0113,0.005,control
16,True,1080,11,226,11,1.0,530,534,216,1296,1.0,S1,1.89,0.0029,0.0005,0.0001,0.0079,0.0042,sensing
46,True,3888,38,604,27,1.0,965,2961,1860,5832,1.0,S2,3.38,0.0073,0.0043,0.0003,0.0482,0.0142,telemetry
39,True,3888,36,587,25,1.0,1017,2916,1860,5832,1.0,S2,3.5,0.007,0.0039,0.0002,0.0456,0.013,control
26,True,3888,19,600,16,1.0,1534,2328,1944,5832,1.0,S2,2.8,0.0069,0.0021,0.0002,0.0304,0.0109,sensing
52,True,34560,44,2397,31,1.0,21957,17591,12240,51840,1.0,S3,5.98,0.0282,0.0218,0.0003,0.3475,0.0581,telemetry
43,True,34560,40,2375,27,1.0,21924,17633,12240,51840,1.0,S3,5.48,0.0271,0.0202,0.0003,0.3012,0.0549,control
43,True,34560,36,3221,27,1.0,16230,20933,14634,51840,1.0,S3,4.41,0.0362,0.0207,0.0003,0.2936,0.0666,sensing
57,,,49,4270,32,,276742,34877,33924,345600,,S4,,0.0487,0.041,0.0003,,0.1029,telemetry
53,,,50,4252,29,,276811,34812,33924,345600,,S4,,0.0545,0.0931,0.0003,,0.166,control
52,,,45,6922,28,,230523,73775,41250,345600,,S4,,0.078,0.0493,0.0003,,0.1477,sensing
