evals,exact,nodes,recall,scale,t,variant,workload
3888,True,6925,1.0,S2,0.0474,structural-only,telemetry
2714,True,5036,1.0,S2,0.0746,struct+feasibility,telemetry
85,True,720,1.0,S2,0.0148,struct+dominance,telemetry
46,True,604,1.0,S2,0.0125,HCA-full,telemetry
3888,True,6925,1.0,S2,0.0436,structural-only,control
1923,True,3841,1.0,S2,0.0605,struct+feasibility,control
108,True,773,1.0,S2,0.0151,struct+dominance,control
39,True,587,1.0,S2,0.0127,HCA-full,control
3888,True,6925,1.0,S2,0.031,structural-only,sensing
1578,True,3242,1.0,S2,0.042,struct+feasibility,sensing
213,True,1010,1.0,S2,0.0159,struct+dominance,sensing
26,True,600,1.0,S2,0.0108,HCA-full,sensing
34560,True,61225,1.0,S3,0.369,structural-only,telemetry
12700,True,24650,1.0,S3,0.3592,struct+feasibility,telemetry
323,True,4617,1.0,S3,0.1049,struct+dominance,telemetry
52,True,2397,1.0,S3,0.0544,HCA-full,telemetry
34560,True,61225,1.0,S3,0.2843,structural-only,control
7025,True,15979,1.0,S3,0.2625,struct+feasibility,control
405,True,4730,1.0,S3,0.0998,struct+dominance,control
43,True,2375,1.0,S3,0.051,HCA-full,control
34560,True,61225,1.0,S3,0.2842,structural-only,sensing
10956,True,23118,1.0,S3,0.3149,struct+feasibility,sensing
412,True,4804,1.0,S3,0.0894,struct+dominance,sensing
43,True,3221,1.0,S3,0.0606,HCA-full,sensing
