evals,nodes,pareto,peak_kib,raw,runtime,visited_frac,workload
42,286,24,51.7,1296,0.0543,0.22067901234567902,telemetry
34,268,22,28.7,1296,0.0479,0.20679012345679013,control
18,234,10,26.9,1296,0.0354,0.18055555555555555,sensing
54,696,30,56.6,5832,0.1425,0.11934156378600823,telemetry
54,682,27,37.5,5832,0.1276,0.11694101508916324,control
30,649,18,26.8,5832,0.1039,0.11128257887517147,sensing
57,2746,32,56.9,51840,0.5969,0.05297067901234568,telemetry
57,2732,29,45.7,51840,0.5221,0.05270061728395062,control
53,3495,27,38.3,51840,0.6547,0.06741898148148148,sensing
58,5092,33,55.5,345600,1.1414,0.014733796296296297,telemetry
58,5074,30,46.5,345600,1.0537,0.014681712962962962,control
59,8228,30,41.0,345600,1.6272,0.02380787037037037,sensing
58,8025,33,68.7,2764800,1.8762,0.002902560763888889,telemetry
58,8007,30,55.4,2764800,1.7025,0.002896050347222222,control
61,13986,32,51.9,2764800,3.0148,0.00505859375,sensing
58,9252,33,73.7,15552000,2.2203,0.0005949074074074074,telemetry
58,9234,30,53.2,15552000,2.04,0.00059375,control
61,16345,32,53.7,15552000,3.6678,0.0010509902263374485,sensing
58,10333,33,72.5,82944000,2.1278,0.00012457802854938272,telemetry
58,10315,30,58.0,82944000,2.5,0.00012436101466049382,control
61,18082,32,72.2,82944000,3.9577,0.00021800250771604937,sensing
