L_analytical,design,iqr_ms,kind,max_rho,n_e,p50_measured,p95_measured,policy,rel_err,repeats,spread,workload
0.029741375985286388,12,0.33,pareto,0.75,2,0.026954,0.028132,balanced,0.103,3,1.02,control
0.029591386892177586,13,0.24,pareto,0.75,2,0.02693,0.027967,balanced,0.099,3,1.02,control
0.023651446692357095,14,0.07,pareto,0.4,2,0.027982,0.028763,cloud-first,-0.155,3,1.01,control
0.023501457599248297,15,0.07,pareto,0.4,2,0.027739,0.028455,cloud-first,-0.153,3,1.01,control
0.022291446692357095,16,0.09,pareto,0.4,2,0.024609,0.025329,cloud-first,-0.094,3,1.01,control
0.022141457599248297,17,0.17,pareto,0.4,2,0.024276,0.025205,cloud-first,-0.088,3,1.01,control
0.012769024024024026,18,0.16,dominated,0.475,4,0.011691,0.017172,edge-first,0.092,3,1.03,control
0.023645280623061996,19,0.11,dominated,0.225,2,0.025003,0.025542,balanced,-0.054,3,1.01,control
0.022141457599248297,20,0.09,dominated,0.4,4,0.024458,0.025094,cloud-first,-0.095,3,1.01,control
0.02804961662699762,21,0.12,dominated,0.2,3,0.027929,0.028914,balanced,0.004,3,1.01,control
0.016540135135135133,22,0.08,boundary,0.8,3,0.011867,0.015562,edge-first,0.394,3,1.01,control
0.011388135135135136,23,0.9,boundary,0.8,3,0.00815,0.014837,edge-first,0.397,3,1.24,control
0.08242786885245901,24,4041.14,pareto,0.75,2,7.451617,12.180098,cloud-first,-0.989,3,23.47,sensing
0.07669028436018957,25,1743.71,pareto,0.75,2,2.593389,6.540877,cloud-first,-0.97,3,38.29,sensing
0.06742786885245902,26,0.05,pareto,0.39,2,0.049845,0.070182,cloud-first,0.353,3,1.0,sensing
0.06169028436018957,27,0.33,pareto,0.375,2,0.046655,0.073099,cloud-first,0.322,3,1.01,sensing
0.06696161498248998,28,1.24,pareto,0.39,2,0.047641,0.0673,balanced,0.406,3,1.05,sensing
0.06122403049022053,29,0.36,pareto,0.24,2,0.042575,0.066372,balanced,0.438,3,1.02,sensing
0.06709215193234577,30,0.71,dominated,0.24,2,0.048108,0.075544,balanced,0.395,3,1.03,sensing
0.07430795543254559,31,0.79,dominated,0.45,3,0.051174,0.069828,balanced,0.452,3,1.03,sensing
0.06110479360627777,32,0.62,dominated,0.24,2,0.042639,0.053758,balanced,0.433,3,1.03,sensing
0.06742786885245902,33,1.21,dominated,0.39,2,0.050088,0.081038,cloud-first,0.346,3,1.05,sensing
0.1216084661783714,34,631.66,boundary,0.8,3,0.354916,1.223479,balanced,-0.657,3,22.17,sensing
0.08596503267973855,35,90.68,boundary,0.76,2,0.135366,0.462154,edge-first,-0.365,3,4.18,sensing
0.040695833333333334,0,1.27,pareto,0.8,2,0.033005,0.035377,balanced,0.233,3,1.08,telemetry
0.04034202898550725,1,0.45,pareto,0.8,2,0.032842,0.038867,balanced,0.228,3,1.03,telemetry
0.03653583333333334,2,0.3,pareto,0.8,2,0.028716,0.029992,balanced,0.272,3,1.02,telemetry
0.03618202898550725,3,0.01,pareto,0.8,2,0.028499,0.031289,balanced,0.27,3,1.0,telemetry
0.025895833333333333,4,0.21,pareto,0.4,2,0.029492,0.030976,cloud-first,-0.122,3,1.01,telemetry
0.025542028985507247,5,0.24,pareto,0.4,2,0.029232,0.03135,cloud-first,-0.126,3,1.02,telemetry
0.03213671245421246,6,0.19,dominated,0.533,2,0.030041,0.032061,balanced,0.07,3,1.01,telemetry
0.024256666666666666,7,0.71,dominated,0.733,4,0.016375,0.024583,edge-first,0.481,3,1.09,telemetry
0.011153333333333333,8,0.17,dominated,0.467,4,0.010396,0.012549,edge-first,0.073,3,1.03,telemetry
0.030239107876765245,9,0.01,dominated,0.107,4,0.028766,0.030979,balanced,0.051,3,1.0,telemetry
0.040133695652173916,10,0.35,boundary,0.8,2,0.032768,0.035257,balanced,0.225,3,1.02,telemetry
0.0404875,11,0.22,boundary,0.8,2,0.032874,0.034993,balanced,0.232,3,1.01,telemetry
