MAPE,agree_10pct,agree_25pct,kendall,measured_spread,median_AE_ms,median_repeat_iqr_ms,n,pairs_10pct,pairs_25pct,spearman,subset,workload
12.0,0.896,0.886,0.748,2.1,2.43,0.4,12,48,44,0.865,all,control
8.7,0.852,0.833,0.674,1.18,2.43,0.4,10,27,24,0.778,rho<=0.75,control
10.7,0.865,0.853,0.697,1.23,2.43,0.38,11,37,34,0.825,reproducible,control
46.3,0.935,0.913,0.809,154.95,16.4,3.17,12,46,23,0.921,all,sensing
43.0,1.0,1.0,0.899,154.95,15.91,2.15,10,26,5,0.96,rho<=0.75,sensing
29.3,1.0,nan,0.837,0.22,14.92,1.62,8,11,0,0.922,reproducible,sensing
17.8,0.815,0.895,0.606,2.17,6.51,0.51,12,54,38,0.776,all,telemetry
12.7,0.818,1.0,0.733,1.86,2.72,0.51,6,11,7,0.829,rho<=0.75,telemetry
17.4,0.783,0.875,0.564,2.17,6.4,0.49,11,46,32,0.727,reproducible,telemetry
25.4,0.961,0.978,0.871,775.34,6.51,0.56,36,561,498,0.967,all,ALL
22.8,0.962,0.982,0.855,660.7,4.19,0.54,26,266,222,0.946,rho<=0.75,ALL
18.1,0.949,0.972,0.841,4.19,4.39,0.48,30,373,325,0.947,reproducible,ALL
