scale,workload,order,queue,nodes,bound_calls,evals,partial_queue_active,partial_queue_pruned,runtime,exact
S1,telemetry,determinants-early,False,447,746,136,0,0,0.006658624995907303,True
S1,telemetry,determinants-early,True,249,516,32,306,46,0.005190333002246916,True
S1,telemetry,determinants-late,False,695,1299,136,0,0,0.009546916997351218,True
S1,telemetry,determinants-late,True,589,1299,30,0,0,0.010272291001456324,True
S1,control,determinants-early,False,391,669,113,0,0,0.0051557499973569065,True
S1,control,determinants-early,True,242,512,28,312,35,0.004603458997735288,True
S1,control,determinants-late,False,679,1317,112,0,0,0.009582667000358924,True
S1,control,determinants-late,True,593,1317,26,0,0,0.010494166002899874,True
S1,sensing,determinants-early,False,481,810,147,0,0,0.005815625001559965,True
S1,sensing,determinants-early,True,226,503,16,309,72,0.004065666995302308,True
S1,sensing,determinants-late,False,497,819,148,0,0,0.006076375000702683,True
S1,sensing,determinants-late,True,365,819,16,0,0,0.005758832994615659,True
S2,telemetry,determinants-early,False,939,1815,208,0,0,0.015418167000461835,True
S2,telemetry,determinants-early,True,604,1383,46,839,99,0.01385645800473867,True
S2,telemetry,determinants-late,False,1816,3940,208,0,0,0.0307165830017766,True
S2,telemetry,determinants-late,True,1652,3940,44,0,0,0.03580816599423997,True
S2,control,determinants-early,False,835,1674,165,0,0,0.013918916003603954,True
S2,control,determinants-early,True,587,1364,39,842,80,0.012047499993059319,True
S2,control,determinants-late,False,1780,3960,164,0,0,0.02903741699992679,True
S2,control,determinants-late,True,1653,3960,37,0,0,0.03292449999571545,True
S2,sensing,determinants-early,False,1161,2184,289,0,0,0.014977541999542154,True
S2,sensing,determinants-early,True,600,1427,26,879,177,0.010136958000657614,True
S2,sensing,determinants-late,False,1268,2421,290,0,0,0.016826917002617847,True
S2,sensing,determinants-late,True,1004,2421,26,0,0,0.015795499995874707,True
S3,telemetry,determinants-early,False,2871,6806,251,0,0,0.05328212499443907,True
S3,telemetry,determinants-early,True,2397,6100,52,3777,188,0.05443770800047787,True
S3,telemetry,determinants-late,False,6029,14794,251,0,0,0.11789337500522379,True
S3,telemetry,determinants-late,True,5828,14794,50,0,0,0.13191625000035856,True
S3,control,determinants-early,False,2755,6636,206,0,0,0.05099274999520276,True
S3,control,determinants-early,True,2375,6074,43,3777,163,0.05627508299949113,True
S3,control,determinants-late,False,5990,14812,205,0,0,0.10668045800412074,True
S3,control,determinants-late,True,5826,14812,41,0,0,0.12750400000368245,True
S3,sensing,determinants-early,False,4351,9905,537,0,0,0.07294349999574479,True
S3,sensing,determinants-early,True,3221,8281,43,5139,419,0.06085420899762539,True
S3,sensing,determinants-late,False,4888,11367,538,0,0,0.08267095899645938,True
S3,sensing,determinants-late,True,4393,11367,43,0,0,0.08227025000087451,True
