L_analytical,L_sim,design_index,rel_err,workload
0.040696,0.036024,0,0.1297,telemetry
0.040342,0.035724,1,0.1293,telemetry
0.036536,0.031721,2,0.1518,telemetry
0.036182,0.031421,3,0.1515,telemetry
0.025896,0.026894,4,-0.0371,telemetry
0.025542,0.026594,5,-0.0396,telemetry
0.023456,0.023657,6,-0.0085,telemetry
0.023102,0.023333,7,-0.0099,telemetry
0.023248,0.023146,8,0.0044,telemetry
0.022894,0.022823,9,0.0031,telemetry
0.012956,0.01369,10,-0.0536,telemetry
0.007076,0.006551,11,0.0801,telemetry
0.011982,0.012979,12,-0.0769,telemetry
0.006102,0.005708,13,0.0689,telemetry
0.006088,0.005704,14,0.0673,telemetry
0.034982,0.032899,15,0.0633,telemetry
0.034628,0.032599,16,0.0622,telemetry
0.019043,0.015921,17,0.1961,telemetry
0.013163,0.010016,18,0.3142,telemetry
0.018069,0.01521,19,0.1879,telemetry
0.018317,0.017514,20,0.0459,telemetry
0.032842,0.032325,21,0.016,telemetry
0.028245,0.028227,22,0.0006,telemetry
0.029263,0.028465,23,0.028,telemetry
0.03622,0.031698,24,0.1426,telemetry
0.025542,0.026594,25,-0.0396,telemetry
0.032285,0.032013,26,0.0085,telemetry
0.015826,0.012399,27,0.2764,telemetry
0.028735,0.028704,28,0.0011,telemetry
0.037342,0.035465,29,0.0529,telemetry
0.027373,0.026405,30,0.0367,telemetry
0.030077,0.029958,31,0.004,telemetry
0.027024,0.026787,32,0.0088,telemetry
0.015352,0.014867,33,0.0326,telemetry
0.031151,0.031025,34,0.0041,telemetry
0.028985,0.028201,35,0.0278,telemetry
0.029086,0.029027,36,0.002,telemetry
0.016267,0.01442,37,0.1281,telemetry
0.019191,0.017864,38,0.0743,telemetry
0.030272,0.030263,39,0.0003,telemetry
0.029741,0.027366,0,0.0868,control
0.029591,0.027231,1,0.0867,control
0.023651,0.023746,2,-0.004,control
0.023501,0.023611,3,-0.0046,control
0.022291,0.022405,4,-0.0051,control
0.022141,0.02227,5,-0.0058,control
0.022153,0.022085,6,0.003,control
0.022003,0.021941,7,0.0028,control
0.013072,0.011223,8,0.1647,control
0.009208,0.00747,9,0.2327,control
0.012288,0.010736,10,0.1445,control
0.008424,0.006932,11,0.2151,control
0.005268,0.005078,12,0.0374,control
0.004483,0.004332,13,0.0348,control
0.004471,0.004324,14,0.0339,control
0.029889,0.028678,15,0.0422,control
0.029739,0.028543,16,0.0419,control
0.007507,0.006507,17,0.1536,control
0.004408,0.004302,18,0.0247,control
0.004397,0.004285,19,0.0261,control
0.027976,0.027685,20,0.0105,control
0.025575,0.025439,21,0.0054,control
0.024703,0.024677,22,0.001,control
0.023183,0.015544,23,0.4914,control
0.024005,0.02389,24,0.0048,control
0.026113,0.025464,25,0.0255,control
0.029549,0.02923,26,0.0109,control
0.026481,0.026444,27,0.0014,control
0.012385,0.011917,28,0.0393,control
0.007064,0.006699,29,0.0544,control
0.00617,0.006091,30,0.0129,control
0.022141,0.02227,31,-0.0058,control
0.022003,0.021941,32,0.0028,control
0.024145,0.024032,33,0.0047,control
0.007258,0.006743,34,0.0764,control
0.027855,0.027826,35,0.001,control
0.026069,0.026018,36,0.002,control
0.012241,0.010347,37,0.183,control
0.008721,0.007584,38,0.1498,control
0.028474,0.028379,39,0.0034,control
0.082428,0.095902,0,-0.1405,sensing
0.07669,0.092002,1,-0.1664,sensing
0.067428,0.078253,2,-0.1383,sensing
0.06169,0.074353,3,-0.1703,sensing
0.066962,0.08035,4,-0.1666,sensing
0.061224,0.07645,5,-0.1992,sensing
0.058863,0.048518,6,0.2132,sensing
0.058744,0.048431,7,0.2129,sensing
0.059383,0.073116,8,-0.1878,sensing
0.053617,0.046329,9,0.1573,sensing
0.053498,0.046165,10,0.1588,sensing
0.050152,0.04586,11,0.0936,sensing
0.050032,0.045665,12,0.0956,sensing
0.048825,0.045848,13,0.0649,sensing
0.048706,0.045641,14,0.0671,sensing
0.048653,0.045633,15,0.0662,sensing
0.130686,0.131832,16,-0.0087,sensing
0.243868,0.121523,17,1.0068,sensing
0.060321,0.050718,18,0.1893,sensing
0.06169,0.074353,19,-0.1703,sensing
0.059724,0.055397,20,0.0781,sensing
0.059601,0.056196,21,0.0606,sensing
0.074375,0.06319,22,0.177,sensing
0.098409,0.083643,23,0.1765,sensing
0.192944,0.316007,24,-0.3894,sensing
0.173697,0.300689,25,-0.4223,sensing
0.239983,0.235002,26,0.0212,sensing
0.243987,0.121539,27,1.0075,sensing
0.112785,0.107087,28,0.0532,sensing
0.261712,0.360621,29,-0.2743,sensing
0.066711,0.054726,30,0.219,sensing
0.13826,0.090645,31,0.5253,sensing
0.07669,0.092002,32,-0.1664,sensing
0.197664,0.211566,33,-0.0657,sensing
0.094379,0.092605,34,0.0192,sensing
0.082428,0.095902,35,-0.1405,sensing
0.078675,0.089432,36,-0.1203,sensing
0.089561,0.089432,37,0.0014,sensing
0.061105,0.07645,38,-0.2007,sensing
0.184809,0.309589,39,-0.4031,sensing
