budget,cliffs_delta,hca_n_eval,hca_recall,nsga2_hv_iqr,nsga2_hv_med,nsga2_recall_med,p_nsga2_gt_random,random_hv_med,scale,workload
100,-0.16,39,1.0,0.183,0.6267,0.04,0.810334,0.6914,S2,control
250,0.65,39,1.0,0.1068,0.9103,0.3,0.00023,0.7923,S2,control
500,0.85,39,1.0,0.0287,0.9906,0.8,2e-06,0.879,S2,control
1000,0.9,39,1.0,0.0009,0.9992,0.9,1e-06,0.9225,S2,control
100,-0.295,26,1.0,0.4587,0.4042,0.0,0.946244,0.4688,S2,sensing
250,0.225,26,1.0,0.2634,0.7925,0.312,0.114347,0.686,S2,sensing
500,0.685,26,1.0,0.1152,0.9652,0.719,0.00011,0.8037,S2,sensing
1000,0.6,26,1.0,0.0979,1.0,0.938,0.000558,0.8656,S2,sensing
100,-0.037,46,1.0,0.1738,0.703,0.037,0.585666,0.6922,S2,telemetry
250,0.425,46,1.0,0.0967,0.8858,0.259,0.011132,0.7937,S2,telemetry
500,0.89,46,1.0,0.0344,0.9954,0.759,1e-06,0.8797,S2,telemetry
1000,1.0,46,1.0,0.0009,0.9994,0.944,0.0,0.9228,S2,telemetry
100,0.01,43,1.0,0.4439,0.2859,0.0,0.483817,0.2616,S3,control
250,0.62,43,1.0,0.3095,0.7481,0.037,0.000418,0.4916,S3,control
500,0.8,43,1.0,0.128,0.9331,0.278,8e-06,0.5644,S3,control
1000,0.8,43,1.0,0.01,0.9906,0.648,8e-06,0.6913,S3,control
100,0.12,43,1.0,0.3408,0.0497,0.0,0.261319,0.0367,S3,sensing
250,-0.08,43,1.0,0.4654,0.2787,0.037,0.672319,0.2308,S3,sensing
500,0.18,43,1.0,0.756,0.7504,0.37,0.168458,0.5561,S3,sensing
1000,0.3,43,1.0,0.8938,0.9689,0.741,0.053549,0.5998,S3,sensing
100,-0.302,52,1.0,0.2521,0.1509,0.0,0.950542,0.259,S3,telemetry
250,0.38,52,1.0,0.3584,0.6868,0.0,0.020562,0.4871,S3,telemetry
500,0.7,52,1.0,0.1564,0.9154,0.355,8e-05,0.5633,S3,telemetry
1000,0.7,52,1.0,0.0494,0.9874,0.645,8e-05,0.6993,S3,telemetry
